ciiu_version_fuente,codigo_fuente_2dig,grupo_rev4_homologado,descripcion_grupo_rev4_homologado,seccion_rev4_homologada,tipo_homologacion,calidad_homologacion,incluir_sector_industrial_rev4,notas_homologacion
Rev.3,15,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,grupo_compatible_rev4,media,si,Rev3 15 se abre en Rev4 10 y 11; se agrega con tabaco por restricciones publicadas en 2001 y en varios anos Rev4.
Rev.3,16,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,grupo_compatible_rev4,media,si,Rev3 16 corresponde a Rev4 12; se agrega con alimentos y bebidas por compatibilidad larga.
Rev.3,17,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,grupo_compatible_rev4,media,si,Rev3 17-19 se agregan por la publicacion agrupada de 2001.
Rev.3,18,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,grupo_compatible_rev4,media,si,Rev3 17-19 se agregan por la publicacion agrupada de 2001.
Rev.3,19,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,grupo_compatible_rev4,media,si,Rev3 17-19 se agregan por la publicacion agrupada de 2001.
Rev.3,20,16_madera,Madera y productos de madera,C,uno_a_uno_aproximado,baja,si,Correspondencia principal Rev3 20 a Rev4 16.
Rev.3,21,17_18_papel_impresion,Papel impresion y reproduccion,C,grupo_compatible_rev4,alta,si,Rev3 22 incluye edicion/publicacion que en Rev4 pasa fuera de manufactura; se mantiene grupo con advertencia.
Rev.3,22,17_18_papel_impresion,Papel impresion y reproduccion,C,parcial_con_cambio_de_seccion,alta,si,Rev3 22 incluye edicion/publicacion que en Rev4 pasa fuera de manufactura; se mantiene grupo con advertencia.
Rev.3,23,19_refinacion,Coque y refinacion de petroleo,C,uno_a_uno_aproximado,media,si,Correspondencia principal Rev3 23 a Rev4 19.
Rev.3,24,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,grupo_compatible_rev4,alta,si,Rev3 24 se abre en Rev4 20 y 21; se agrega con caucho y plastico por restricciones publicadas en 2001.
Rev.3,25,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,grupo_compatible_rev4,media,si,Rev3 25 corresponde a Rev4 22; se agrega con quimicos/farmaceuticos por compatibilidad larga.
Rev.3,26,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,grupo_compatible_rev4,media,si,Rev3 26-27 se agregan por la publicacion agrupada de 2001.
Rev.3,27,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,grupo_compatible_rev4,media,si,Rev3 26-27 se agregan por la publicacion agrupada de 2001.
Rev.3,28,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,grupo_compatible_rev4,alta,si,Rev4 33 reparacion e instalacion puede provenir de varias divisiones Rev3; se agrega con metal/equipos.
Rev.3,29,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,grupo_compatible_rev4,alta,si,Rev4 33 reparacion e instalacion puede provenir de varias divisiones Rev3; se agrega con metal/equipos.
