anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2001,C,1,Rev.3,89240215000,,32030854000,,11462459000,113817,3539644000,1075519000,3127411000,6829485000,28622363000,20568395000,0.357856802694052,281424.163349939
2001,D_E,1,Rev.3,13263801000,,10613610000,,3599292000,14928,1873944000,1707000,1928502000,111535000,50479997000,7014318000,0.339120431219915,710986.736334405
2001,G,1,Rev.3,43491119000,,24957624000,,10823278000,168971,2205103000,107333000,1670535000,1114492000,14490199000,14134346000,0.433666201558289,147703.594107865
2001,H_J,1,Rev.3,33566050000,,13456590000,,6544975000,62695,3337731000,1786934000,1509319000,-154331000,13202423000,6911615000,0.486376935018456,214635.776377702
2001,I,1,Rev.3,6105764000,,2287136000,,1474027000,26097,2415023000,24742000,446253000,39553000,5880745000,813109000,0.644485942243924,87639.8053416101
2001,L_M_N,1,Rev.3,14837125000,,8359713000,,3864244000,60371,908730000,158545000,360497000,82393000,3280605000,4495469000,0.462246012512631,138472.329429693
2001,P,1,Rev.3,3554736000,,2803083000,,2188777000,30186,241141000,5934000,73414000,1245000,1895620000,614306000,0.780846303873271,92860.3657324588
2001,Q,1,Rev.3,20736564000,,11456887000,,8963981000,61559,1063210000,15697000,358413000,204284000,5999539000,2492906000,0.782409829127232,186112.298770285
2002,C,2,Rev.3,104934883446,,39381506784,,9421078355,76575,,,3758469943,5924169665,,29960428429,0.239225949547152,514286.735670911
2002,D_E,2,Rev.3,15787447980,,12439436732,,3806404173,12215,,,3105564554,89560282,,8633032559,0.305994897920753,1018373.86262792
2002,G,2,Rev.3,31693348520,,18177965195,,7709632973,76468,,,1426375588,632733549,,10468332222,0.424119690531732,237719.898454255
2002,H_J,2,Rev.3,37112316985,,15304944081,,6795894609,37362,,,1592530017,69155721,,8509049472,0.444032632398613,409639.314838606
