anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,vab_pb_estimado,consumo_intermedio_estimado,capital_circulante_constante_adelantado,remuneraciones,capital_variable_adelantado,puestos_trabajo,n_empresas,fbcf,adquisiciones_importadas,consumo_capital_fijo,impuestos_netos,stock_capital,stock_capital_imputado,capital_total_adelantado,excedente_bruto,part_salarial,productividad
2001,C,1,Rev.3,89240215000.0,,32030854000.0,,26506272680.61665,62733942319.38335,9505142775.664145,11462459000.0,1736736212.1212122,113817.0,12367.0,3539644000.0,1075519000.0,3127411000.0,6829485000.0,28622363000.0,28622363000.0,39864241987.785355,20568395000.0,0.35785680269405246,281424.1633499389
2001,D_E,1,Rev.3,13263801000.0,,10613610000.0,,10613610000.0,2650191000.0,,3599292000.0,,14928.0,7.0,1873944000.0,1707000.0,1928502000.0,111535000.0,50479997000.0,50479997000.0,,7014318000.0,0.3391204312199148,710986.7363344051
2001,G,1,Rev.3,43491119000.0,,24957624000.0,,22794518392.94394,20696600607.05606,,10823278000.0,,168971.0,41141.0,2205103000.0,107333000.0,1670535000.0,1114492000.0,14490199000.0,14490199000.0,,14134346000.0,0.4336662015582894,147703.59410786466
2001,H_J,1,Rev.3,33566050000.0,,13456590000.0,,13454266802.865278,20111783197.13472,,6544975000.0,,62695.0,15659.0,3337731000.0,1786934000.0,1509319000.0,-154331000.0,13202423000.0,13202423000.0,,6911615000.0,0.48637693501845564,214635.77637770158
2001,I,1,Rev.3,6105764000.0,,2287136000.0,,2286147178.2563233,3819616821.7436767,,1474027000.0,,26097.0,6303.0,2415023000.0,24742000.0,446253000.0,39553000.0,5880745000.0,5880745000.0,,813109000.0,0.6444859422439243,87639.80534161015
2001,L_M_N,1,Rev.3,14837125000.0,,8359713000.0,,8359594557.327202,6477530442.672798,,3864244000.0,,60371.0,13253.0,908730000.0,158545000.0,360497000.0,82393000.0,3280605000.0,3280605000.0,,4495469000.0,0.46224601251263053,138472.32942969305
2001,P,1,Rev.3,3554736000.0,,2803083000.0,,2803083000.0,751653000.0,,2188777000.0,,30186.0,1863.0,241141000.0,5934000.0,73414000.0,1245000.0,1895620000.0,1895620000.0,,614306000.0,0.7808463038732709,92860.36573245875
2001,Q,1,Rev.3,20736564000.0,,11456887000.0,,11456887000.0,9279677000.0,,8963981000.0,,61559.0,2773.0,1063210000.0,15697000.0,358413000.0,204284000.0,5999539000.0,5999539000.0,,2492906000.0,0.7824098291272316,186112.29877028542
2002,C,2,Rev.3,104934883446.0,,39381506784.0,,32589107907.964565,72345775538.03543,10961481142.126581,9421078355.0,1427436114.3939395,76575.0,2884.0,,,3758469943.0,5924169665.0,,38087990148.781006,50476907405.30152,29960428429.0,0.2392259495471518,514286.73567091086
2002,D_E,2,Rev.3,15787447980.0,,12439436732.0,,12439436732.0,3348011248.0,,3806404173.0,,12215.0,6.0,,,3105564554.0,89560282.0,,62423317162.80263,,8633032559.0,0.3059948979207526,1018373.8626279165
2002,G,2,Rev.3,31693348520.0,,18177965195.0,,16602460313.678988,15090888206.321012,,7709632973.0,,76468.0,4704.0,,,1426375588.0,632733549.0,,10354075756.013552,,10468332222.0,0.42411969053173226,237719.89845425537
2002,H_J,2,Rev.3,37112316985.0,,15304944081.0,,15302301776.951496,21810015208.048504,,6795894609.0,,37362.0,1139.0,,,1592530017.0,69155721.0,,7360665563.461267,,8509049472.0,0.44403263239861296,409639.31483860605
2002,I,2,Rev.3,6055117793.0,,2738851808.0,,2737667691.174215,3317450101.825785,,1165502269.0,,14784.0,837.0,,,346961879.0,206430881.0,,7449592398.329287,,1573349539.0,0.4255441150907278,185257.83333333334
