anno,seccion,seccion_fuente,ciiu_version,epoca,archivo_fuente,division_publicada,codigos_componentes,codigos_base_2dig,nivel_agregacion,usar_para_homologacion,descripcion_fuente,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,,,,seccion_total,no,Industrias Manufactureras.,86431142000.0,,30765240000.0,,11063329000.0,96958.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,15-16,15|16,15|16,grupo_codigos_publicado,si,"Elaboración De Productos Alimenticios, Bebidas Y Tabaco.",36886440000.0,,11830027000.0,,4509215000.0,41475.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,17-18-19,17|18|19,17|18|19,grupo_codigos_publicado,si,"Fabricación De Productos Textiles, Prendas De Vestir Y Teñido De Pieles. Curtiembres Y Talleres De Acabado, Fabricación De Productos Y Calzado De Cuero.",9732813000.0,,2687161000.0,,1332167000.0,15813.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,20,20,20,division_2_digitos,si,"Producción De Madera Y Productos De Madera, Caña, Mimbre, Corcho Y Otros Materiales Excepto Muebles.",738710000.0,,220869000.0,,127850000.0,2090.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,21-22,21|22,21|22,grupo_codigos_publicado,si,"Fabricación De Papel Y De Productos De Papel. Actividades De Encuadernación, Impresión, Edición Y Reproducción De Grabaciones.",5172759000.0,,2193158000.0,,1086568000.0,7860.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,23,23,23,division_2_digitos,si,Fabricación De Productos Diversos Derivados Del Petroleo Y Del Carbón.,13822409000.0,,6963494000.0,,260236000.0,956.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,24-25,24|25,24|25,grupo_codigos_publicado,si,"Fabricación De Sustancias Y De Productos Químicos, De Productos De Caucho Y Plástico.",9384685000.0,,3338759000.0,,1696349000.0,9542.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,26-27,26|27,26|27,grupo_codigos_publicado,si,Fabricación De Otros Productos Minerales No Metálicos. Industrias Metálicas Básicas.,2543878000.0,,963448000.0,,592571000.0,4463.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,28-29-30,28|29|30,28|29|30,grupo_codigos_publicado,si,"Fabricación De Productos Metálicos, Maquinarias Y Equipos. Construcción De Maquinaria Exceptuando La Maquinaria Eléctrica. Fabricación De Maquinaria De Oficina, Contabilidad E Informática.",2762516000.0,,959163000.0,,576392000.0,6302.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,31-32-33,31|32|33,31|32|33,grupo_codigos_publicado,si,"Fabricación De Maquinaria Y Aparatos Eléctricos N.C.P., De Equipos Y Aparatos De Radio, Televisión Y Comunicación, De Instrumentos Médicos, Ópticos Y De Precisión, Y De Relojes.",1717150000.0,,589176000.0,,348949000.0,3213.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,34-35,34|35,34|35,grupo_codigos_publicado,si,"Fabricación De Vehículos Automotores, Remolques Y Semirremolques, Y De Otros Tipos De Equipo De Transporte.",2591127000.0,,630961000.0,,305833000.0,2509.0
2001,C,D,Rev.3,1,2 Digitos/EAE_cu1afe2_01.xls,36,36,36,division_2_digitos,si,Fabricación De Muebles; Industrias Manufactureras N.C.P.,1078655000.0,,389024000.0,,227199000.0,2735.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,,,,seccion_total,no,Industrias  Manufactureras.,104934883446.0,,39381506784.0,,9421078355.0,76575.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,15,15,15,division_2_digitos,si,Elaboración De Productos Alimenticios Y Bebidas.,43091162988.0,,12897844097.0,,3741294492.0,34170.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,151,151,15,grupo_3_digitos,no,"Producción, procesamiento y conservación de carnes, pescados, frutas, legumbres, hortalizas y aceites.",17882919160.0,,3574031982.0,,1247575299.0,13465.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,1511,1511,15,clase_4_digitos,no,Matanza de ganado y aves. Preparación de carnes.,14996947895.0,,2658140683.0,,903874302.0,10218.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,1512,1512,15,clase_4_digitos,no,Elaboración y conservación de pescado.,1782034563.0,,577902348.0,,232164034.0,2217.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,1513,1513,15,clase_4_digitos,no,"Elaboración y conservación de frutas, legumbres y hortalizas.",644569848.0,,191954991.0,,78978148.0,808.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,1514,1514,15,clase_4_digitos,no,Aceites y grasas vegetales y animales.,459366854.0,,146033960.0,,32558815.0,222.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,152,152,15,grupo_3_digitos,no,Elaboración de productos lácteos.,6670613978.0,,1978581891.0,,742970394.0,3987.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,1520,1520,15,clase_4_digitos,no,Productos lácteos.,6670613978.0,,1978581891.0,,742970394.0,3987.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,153,153,15,grupo_3_digitos,no,"Elaboración de productos de molinería, almidones y productos derivados del almidón y de alimentos preparados para animales.",5521332456.0,,1592356857.0,,335307920.0,2381.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,1531,1531,15,clase_4_digitos,no,Molinos harineros.,1853801131.0,,370018984.0,,109748628.0,743.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,1533,1533,15,clase_4_digitos,no,Elaboración de alimentos preparados para animales.,401123505.0,,156399960.0,,39008022.0,411.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,1534,1534,15,clase_4_digitos,no,Molinos arroceros.,3266407820.0,,1065937913.0,,186551270.0,1227.0
2002,C,D,Rev.3,2,EAE_C1_2002.xls,154,154,15,grupo_3_digitos,no,Elaboración de otros productos alimenticios.,8095986998.0,,3381894394.0,,942379659.0,11341.0
