anno,seccion,grupo_rev4_homologado,descripcion_grupo_rev4_homologado,seccion_rev4_homologada,incluir_sector_industrial_rev4,ciiu_version_fuente,seccion_fuente,epoca,codigos_fuente_incluidos,divisiones_publicadas_incluidas,n_filas_fuente,tipo_homologacion,calidad_homologacion,notas_homologacion,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo
2001,C,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,si,Rev.3,D,1,15|16,15-16,1,grupo_compatible_rev4,media,Rev3 15 se abre en Rev4 10 y 11; se agrega con tabaco por restricciones publicadas en 2001 y en varios anos Rev4. | Rev3 16 corresponde a Rev4 12; se agrega con alimentos y bebidas por compatibilidad larga.,36886440000.0,,11830027000.0,,4509215000.0,41475.0
2001,C,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,si,Rev.3,D,1,17|18|19,17-18-19,1,grupo_compatible_rev4,media,Rev3 17-19 se agregan por la publicacion agrupada de 2001.,9732813000.0,,2687161000.0,,1332167000.0,15813.0
2001,C,16_madera,Madera y productos de madera,C,si,Rev.3,D,1,20,20,1,uno_a_uno_aproximado,baja,Correspondencia principal Rev3 20 a Rev4 16.,738710000.0,,220869000.0,,127850000.0,2090.0
2001,C,17_18_papel_impresion,Papel impresion y reproduccion,C,si,Rev.3,D,1,21|22,21-22,1,grupo_compatible_rev4|parcial_con_cambio_de_seccion,alta,Rev3 22 incluye edicion/publicacion que en Rev4 pasa fuera de manufactura; se mantiene grupo con advertencia.,5172759000.0,,2193158000.0,,1086568000.0,7860.0
2001,C,19_refinacion,Coque y refinacion de petroleo,C,si,Rev.3,D,1,23,23,1,uno_a_uno_aproximado,media,Correspondencia principal Rev3 23 a Rev4 19.,13822409000.0,,6963494000.0,,260236000.0,956.0
2001,C,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,si,Rev.3,D,1,24|25,24-25,1,grupo_compatible_rev4,alta,Rev3 24 se abre en Rev4 20 y 21; se agrega con caucho y plastico por restricciones publicadas en 2001. | Rev3 25 corresponde a Rev4 22; se agrega con quimicos/farmaceuticos por compatibilidad larga.,9384685000.0,,3338759000.0,,1696349000.0,9542.0
2001,C,23_24_minerales_metales,Minerales no metalicos y metales comunes,C,si,Rev.3,D,1,26|27,26-27,1,grupo_compatible_rev4,media,Rev3 26-27 se agregan por la publicacion agrupada de 2001.,2543878000.0,,963448000.0,,592571000.0,4463.0
2001,C,25_26_27_28_33_metal_equipos_reparacion,Productos de metal equipos y reparacion,C,si,Rev.3,D,1,28|29|30|31|32|33,28-29-30|31-32-33,2,grupo_compatible_rev4,alta,Rev3 30 y Rev3 32-33 convergen parcialmente en Rev4 26; se usa grupo amplio. | Rev4 33 reparacion e instalacion puede provenir de varias divisiones Rev3; se agrega con metal/equipos.,4479666000.0,,1548339000.0,,925341000.0,9515.0
2001,C,29_30_vehiculos_transporte,Vehiculos y otros equipos de transporte,C,si,Rev.3,D,1,34|35,34-35,1,grupo_compatible_rev4,media,Rev3 34-35 se agregan por la publicacion agrupada de 2001.,2591127000.0,,630961000.0,,305833000.0,2509.0
2001,C,31_32_muebles_otras_manufacturas,Muebles y otras manufacturas,C,si,Rev.3,D,1,36,36,1,grupo_compatible_rev4,media,Rev3 36 se abre en Rev4 31 y 32; se mantiene agregado.,1078655000.0,,389024000.0,,227199000.0,2735.0
2002,C,10_11_12_alimentos_bebidas_tabaco,Alimentos bebidas y tabaco,C,si,Rev.3,D,2,15|16,15|16,2,grupo_compatible_rev4,media,Rev3 15 se abre en Rev4 10 y 11; se agrega con tabaco por restricciones publicadas en 2001 y en varios anos Rev4.|Rev3 16 corresponde a Rev4 12; se agrega con alimentos y bebidas por compatibilidad larga.,46446431795.0,,15075498763.0,,3999322788.0,34768.0
2002,C,13_14_15_textiles_prendas_cuero,Textiles prendas y cuero,C,si,Rev.3,D,2,17|18|19,17|18|19,3,grupo_compatible_rev4,media,Rev3 17-19 se agregan por la publicacion agrupada de 2001.,14781830140.0,,3884150476.0,,1160592876.0,12244.0
2002,C,16_madera,Madera y productos de madera,C,si,Rev.3,D,2,20,20,1,uno_a_uno_aproximado,baja,Correspondencia principal Rev3 20 a Rev4 16.,880283267.0,,398336839.0,,108061813.0,1502.0
2002,C,17_18_papel_impresion,Papel impresion y reproduccion,C,si,Rev.3,D,2,21|22,21|22,2,grupo_compatible_rev4|parcial_con_cambio_de_seccion,alta,Rev3 22 incluye edicion/publicacion que en Rev4 pasa fuera de manufactura; se mantiene grupo con advertencia.,5317568213.0,,2206102064.0,,897454109.0,5466.0
2002,C,19_refinacion,Coque y refinacion de petroleo,C,si,Rev.3,D,2,23,23,1,uno_a_uno_aproximado,media,Correspondencia principal Rev3 23 a Rev4 19.,16661607730.0,,10240536350.0,,210195676.0,890.0
2002,C,20_21_22_quimicos_farma_caucho_plastico,Quimicos farmaceuticos caucho y plastico,C,si,Rev.3,D,2,24|25,24|25,2,grupo_compatible_rev4,alta,Rev3 24 se abre en Rev4 20 y 21; se agrega con caucho y plastico por restricciones publicadas en 2001.|Rev3 25 corresponde a Rev4 22; se agrega con quimicos/farmaceuticos por compatibilidad larga.,11539961981.0,,4271371028.0,,1554242318.0,8322.0
