anno,seccion,seccion_etiqueta,epoca,ciiu_version,vbp_pp,vab_pp,consumo_intermedio,remuneraciones,consumo_capital_fijo,stock_capital,stock_capital_imputado
1989,3,Industrias manufactureras,EIA_1989_1997,Rev.2,3317494000,1294280000,2023214000,461688000,85195000,,781919478.5318462
1989,31,"Productos alimenticios, bebidas y tabaco",EIA_1989_1997,Rev.2,1205606000,426298000,779308000,144974000,27375000,,206324265.91495818
1989,32,"Textiles, prendas de vestir e industrias del cuero",EIA_1989_1997,Rev.2,702345000,245427000,456918000,111388000,22271000,,237711271.90479708
1989,33,"Industria de la madera y productos de madera, incluidos muebles",EIA_1989_1997,Rev.2,34432000,16431000,18001000,8907000,1081000,,11766435.791603535
1989,34,Fabricacion de papel y productos de papel; imprentas y editoriales,EIA_1989_1997,Rev.2,172334000,80788000,91546000,32208000,7327000,,91951355.10537308
1989,35,Fabricacion de sustancias quimicas y productos quimicos; derivados del petroleo y carbon; caucho y plastico,EIA_1989_1997,Rev.2,666067000,271257000,394810000,76159000,11512000,,121919463.74348815
1989,36,"Fabricacion de productos minerales no metalicos, excepto derivados del petroleo y carbon",EIA_1989_1997,Rev.2,91897000,44070000,47827000,19800000,3852000,,56276281.05934288
1989,37,Industrias metalicas basicas,EIA_1989_1997,Rev.2,46498000,21302000,25196000,4563000,2102000,,11832138.527962273
1989,38,"Fabricacion de productos metalicos, maquinaria y equipo",EIA_1989_1997,Rev.2,385245000,181592000,203653000,60090000,9109000,,96352044.27719624
1989,39,Otras industrias manufactureras,EIA_1989_1997,Rev.2,13070000,7115000,5955000,3600000,566000,,4176280.379020937
1990,3,Industrias manufactureras,EIA_1989_1997,Rev.2,6770041000,2786296000,3983745000,918904000,172119000,,1579707714.3661346
1990,31,"Productos alimenticios, bebidas y tabaco",EIA_1989_1997,Rev.2,2341147000,871313000,1469834000,280923000,53966000,,406739555.59330165
1990,32,"Textiles, prendas de vestir e industrias del cuero",EIA_1989_1997,Rev.2,1368373000,507117000,861256000,225240000,37210000,,397163864.5582821
1990,33,"Industria de la madera y productos de madera, incluidos muebles",EIA_1989_1997,Rev.2,76325000,38102000,38223000,16781000,2177000,,23696143.125181217
1990,34,Fabricacion de papel y productos de papel; imprentas y editoriales,EIA_1989_1997,Rev.2,333452000,154500000,178952000,59522000,13377000,,167876795.03815693
