anno,fecha_tipo_cambio,dolar_usa_compra_dic_ine,dolar_usa_venta_dic_ine,stock_ciu_mill_usd_corriente,stock_ciu_indice_dic_2008_100,stock_eaae_total_activos_industria_uyu_corriente,stock_eaae_construcciones_industria_uyu_corriente,stock_eaae_maquinaria_equipos_industria_uyu_corriente,stock_eaae_maquinaria_equipos_refinacion_uyu_corriente,stock_eaae_maquinaria_equipos_sin_refinacion_uyu_corriente,stock_eaae_maquinaria_equipos_sin_refinacion_mill_usd_corriente,ratio_eaae_ciu_stock_usd_corriente_pct,deflactor_bcu_proxy_sin_refinacion_2005,stock_eaae_maquinaria_equipos_sin_refinacion_mill_usd_constante_2005_proxy,stock_eaae_maquinaria_equipos_sin_refinacion_indice_2008_100,ratio_indice_eaae_ciu_2008_pct,stock_total_panel_industria_uyu_corriente,diferencia_stock_total_extraido_panel_uyu,metodo_eaae_stock,fuente_tipo_cambio,fuente_deflactor,fuente_ciu,nota_metodologica,archivo_eaae_stock
2001,2001-12-31,14.2,15,836,48.3,26860805000,8791124000,14968157000,1142210000,13825947000,921.7298,110.254761,0.672091,824.510877,49.489444,102.462617,28622363000,-1761558000,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: fila_total_industria. Para 2001 se usa C15 a dos digitos para mantener total industrial y refineria en el mismo universo.",2 Digitos/EAE_cu15afe2_01.xls
2002,2002-12-31,26,28.25,731,42.2,,,,,,,,0.7725,,,,,,sin_cuadro_activos_fijos_por_tipo,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,EAAE no publica cuadro de stock de activos fijos por tipo para este anio; no se imputa maquinaria en esta comparacion.,
2003,2003-12-31,28.75,29.8,707,40.8,48103564060,16094685440,26214662969,5843315276,20371347693,683.602272,96.690562,0.963255,847.63293,50.877294,124.69925,48103564060,0,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: fila_total_industria.",EAE_C11_2003.xls
2004,2004-12-31,25.5,27,742,42.9,50525577181,16539559566,28238013997,6416561586,21821452411,808.201941,108.922094,1.012295,863.984334,51.858751,120.882869,50525577181,0,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: fila_total_industria.",EAE_C11_2004.xls
2005,2005-12-30,23.45,24.95,900,52,52418214093,16431349330,29296451529,5699011414,23597440115,945.789183,105.087687,1,945.789183,56.768906,109.170974,52418214093,0,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: fila_total_industria.",EAE_C11_2005.xls
2006,2006-12-29,23.75,25.25,1019,58.9,57185676835.095062,15703606876.195736,32627106208.353947,6454811966,26172294242.353947,1036.526505,101.719971,1.074597,976.170305,58.592466,99.477871,57185676835.095085,-0.000023,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7-F_2006.xls
2007,2007-12-28,21.55,21.6,1292,74.6,88288212567.623444,39547472928.199745,38502477477.513618,6715148294,31787329183.513618,1471.63561,113.903685,1.095412,1163.070732,69.810751,93.580096,88288212567.623413,0.000031,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",Forzosas y aleatorias/EAE_C7_2007.xls
2008,2008-12-31,24.2,24.75,1731,100,107971212345.295547,28039856320.070759,62305951693.5401,8188823360,54117128333.5401,2186.55064,126.317195,1.301908,1666.033827,100,100,107971212345.295563,-0.000015,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2008.xls
2009,2009-12-31,19.35,19.95,1928,111.4,93192117548.19603,27498688378.097027,54096186053.59005,5563473080,48532712973.59005,2432.717442,126.178291,1.318027,1475.841581,88.584131,79.518968,93192117548.196045,-0.000015,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2009.xls
2010,2010-12-31,19.7,20.25,2574,148.7,99737810059.451523,30620173763.126907,56809122231.718834,5630360057,51178762174.718834,2527.34628,98.187501,1.39285,1472.701552,88.395657,59.445634,99737810059.451508,0.000015,extraccion_directa_columna_maquinaria_equipos_eaae,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,"Se usa columna directa de maquinaria y equipos; excluye construcciones, otros e intangibles. Total industrial: suma_filas_industriales_publicadas.",EAE_C7_2010.xls
2011,2011-12-30,19.65,20.15,3271,189,,,,,,,,1.493046,,,,,,sin_cuadro_activos_fijos_por_tipo,"INE Uruguay, hoja Fuente BROU, ultimo valor de diciembre, Dolar.USA.Venta","proxy BCU: deflactor implicito VAB subramas industriales excluyendo refinacion, base 2005",CIU stock capital fijo maquinaria y equipos industria sin refineria ANCAP ni zonas francas,EAAE no publica cuadro de stock de activos fijos por tipo para este anio; no se imputa maquinaria en esta comparacion.,
