fuente,archivo,hoja_fuente,anno,fecha_referencia,dolar_usa_compra,dolar_usa_venta,unidad,criterio
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2001,2001-12-31,14.2,15,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2002,2002-12-31,26,28.25,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2003,2003-12-31,28.75,29.8,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2004,2004-12-31,25.5,27,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2005,2005-12-30,23.45,24.95,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2006,2006-12-29,23.75,25.25,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2007,2007-12-28,21.55,21.6,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2008,2008-12-31,24.2,24.75,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2009,2009-12-31,19.35,19.95,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2010,2010-12-31,19.7,20.25,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2011,2011-12-30,19.65,20.15,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2012,2012-12-31,19.15,19.65,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2013,2013-12-31,21.1,21.65,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2014,2014-12-31,24.05,24.65,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2015,2015-12-31,29.4,30.3,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2016,2016-12-30,28.93,29.66,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2017,2017-12-29,28.41,29.16,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2018,2018-12-31,31.7,33.1,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2019,2019-12-31,36.65,38.15,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2020,2020-12-31,41.25,43.65,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2021,2021-12-31,43.5,45.9,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2022,2022-12-30,38.6,41,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2023,2023-12-29,37.9,40.3,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2024,2024-12-31,42.7,45.2,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
ine_uy,20260805_cotizacion_monedas_ine_uy.xlsx,Fuente BROU,2025,2025-12-31,37.65,40.15,pesos_uruguayos_por_dolar,ultimo_valor_disponible_en_diciembre
