anio,exportaciones_manufactura_miles_usd,exportaciones_manufactura_eaae_95_miles_usd,tipo_cambio_comercial_pesos_usd,tipo_cambio_paridad_pesos_usd,tipo_cambio_paridad_sobre_comercial,exportaciones_manufactura_tcc_miles_pesos,exportaciones_manufactura_tcp_miles_pesos,incremento_exportador_miles_pesos,incremento_exportador_sobre_exportaciones_tcc
2000,2161817,2053726.1500000001,12.114925,17.830572,1.4717855869999998,24880738.277788747,36619111.9858578,11738373.708069053,0.4717855867865466
2001,1894160,1799452,13.408852,19.078999,1.4228659549999998,24128585.549103998,34331742.908548005,10203157.359444,0.4228659545201931
2002,1693280,1608616,21.587268000000005,22.652647,1.049352192,34725624.70108801,36439410.406551994,1713785.7054639978,0.04935219222738138
2003,1938851,1841908.45,28.369939,26.367311999999995,0.9294102465,52254830.37008454,48566174.77658639,-3688655.593498148,-0.07058975347109483
2004,2574731,2445994.4499999997,28.703791999999996,29.122846,1.0145992559999994,70209315.92595436,71234319.68420465,1025003.7582502962,0.014599255735966819
2005,3071499,2917924.05,24.478578999999996,28.325216999999995,1.157143027,71426634.37392493,82650831.90576886,11224197.531843903,0.1571430269706424
2006,3559215,3381254.25,24.073374,29.954262,1.244290144,81398198.1493395,101282975.69311352,19884777.543774005,0.24429014395738644
2007,3838735,3646798.25,23.471036,30.861638999999997,1.31488184,85594133.01048702,112546171.09733175,26952038.086844742,0.31488183989833246
2008,5020585,4769555.75,20.949344999999997,30.471964000000003,1.4545544979999998,99919068.90348378,145337731.109993,45418662.20650926,0.45455449800459174
2009,4214769,4004030.55,22.567971000000004,32.276463,1.4301889610000003,90362845.33551402,129235943.89794463,38873098.56243061,0.43018896116093047
2010,4989666,4740182.7,20.059238,32.828748000000004,1.6365899840000002,95084452.94278263,155614263.33225963,60529810.389476985,0.6365899841260169
2011,6140770,5833731.5,19.314209000000005,34.651025,1.794069071,112673909.44088353,202144776.04978746,89470866.60890396,0.7940690711175379
2012,6226526,5915199.7,20.310164000000004,35.243068,1.735242906,120138675.99975082,208469785.2606796,88331109.2609288,0.7352429059657024
2013,6168934,5860487.300000001,20.481617999999997,35.991435,1.7572554569999999,120032262.1724514,210927347.72627553,90895085.55382408,0.7572554570639879
2014,6285381,5971111.95,23.246061,38.372773,1.650721514,138804832.62752894,229128123.4149374,90323290.78740843,0.6507215136362243
2015,5432907,5161261.649999999,27.327226,41.14915600000001,1.5057933799999996,141042963.5546829,212381560.79266736,71338597.2379845,0.5057933798329912
2016,4988861,4739417.95,30.162599999999998,44.043941000000004,1.460216991,142953167.85867006,208742644.56414095,65789476.70547093,0.460216990577735
2017,5336212,5069401.399999999,28.650000000000002,44.520022000000004,1.553927469,145238350.10999998,225689861.8548308,80451511.74483077,0.5539274694589877
2018,5648512,5366086.399999999,30.77,47.589360000000006,1.5466155350000002,165114478.52799997,255368617.480704,90254138.95270401,0.5466155346116349
2019,5482602,5208471.899999999,35.30000000000001,50.391059000000006,1.4275087539999998,183859058.06999996,262460414.81274205,78601356.74274209,0.4275087535410766
2020,4888112,4643706.399999999,42,57.605681000000004,1.371563833,195035668.79999998,267503869.53605837,72468200.73605837,0.37156383333333326
2021,6650835,6318293.25,43.56,58.976208,1.353907438,275224853.97,372628976.91699594,97404122.94699599,0.3539074380165287
2022,7560065,7182061.75,41.3,58.134197,1.4076076759999998,296619150.2749999,417523392.6406648,120904242.36566477,0.4076076755447943
2023,6919993,6573993.350000001,38.69500000000001,60.006460999999994,1.550754904,254380672.67824996,394482075.57103425,140101402.89278433,0.5507549037343327
2024,6844958,6502710.100000001,40.23500000000001,61.848214000000006,1.5371744499999997,261636540.8735,402181005.84476143,140544464.97126138,0.5371744501056295
