anio,prop_importado_consumo_intermedio,metodo_valor,fuentes_usadas,detalles_usados,n_fuentes_usadas,prop_importado_consumo_intermedio_observada,promedio_imputacion
2000,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2001,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2002,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2003,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2004,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2005,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2006,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2007,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2008,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2009,0.2817,observado_fuentes_disponibles,Microdatos EAAE,Microdatos EAAE 2009 (expandido),1,0.2817,0.23665000000000003
2010,0.3065,observado_fuentes_disponibles,Microdatos EAAE,Microdatos EAAE 2010 (expandido),1,0.3065,0.23665000000000003
2011,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2012,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2013,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2014,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2015,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2016,0.20850000000000002,observado_fuentes_disponibles,COU | MIP,COU detallado 2016 | MIP detallada 2016 (matriz de importaciones),2,0.20850000000000002,0.23665000000000003
2017,0.14990000000000003,observado_fuentes_disponibles,COU,COU detallado 2017,1,0.14990000000000003,0.23665000000000003
2018,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2019,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2020,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2021,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2022,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2023,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2024,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
2025,0.23665000000000003,imputado_promedio_valores_finales_disponibles,promedio_observados_2009_2010_2016_2017,,0,,0.23665000000000003
