anno,variable,seccion_fuente,division_publicada,grupo_rev4_homologado,valor,archivo_fuente,cuadro_fuente,usar_para_homologacion,estado_mapeo
2001,fbcf,D,,,3378168000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,no,no_mapeado_o_no_usado
2001,adquisiciones_importadas,D,,,1075519000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,no,no_mapeado_o_no_usado
2001,fbcf,D,15-16,10_11_12_alimentos_bebidas_tabaco,1257423000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,15-16,10_11_12_alimentos_bebidas_tabaco,491997000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,D,17-18-19,13_14_15_textiles_prendas_cuero,292552000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,17-18-19,13_14_15_textiles_prendas_cuero,156270000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,D,20,16_madera,54740000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,20,16_madera,8848000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,D,21-22,17_18_papel_impresion,378044000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,21-22,17_18_papel_impresion,114360000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,D,23,19_refinacion,109434000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,23,19_refinacion,46774000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,D,24-25,20_21_22_quimicos_farma_caucho_plastico,604996000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,24-25,20_21_22_quimicos_farma_caucho_plastico,170248000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,D,26-27,23_24_minerales_metales,122059000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,26-27,23_24_minerales_metales,32853000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,D,28-29-30,25_26_27_28_33_metal_equipos_reparacion,139652000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,28-29-30,25_26_27_28_33_metal_equipos_reparacion,5568000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,D,31-32-33,25_26_27_28_33_metal_equipos_reparacion,51701000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,31-32-33,25_26_27_28_33_metal_equipos_reparacion,23011000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,D,34-35,29_30_vehiculos_transporte,244239000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,34-35,29_30_vehiculos_transporte,6024000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,D,36,31_32_muebles_otras_manufacturas,123328000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,adquisiciones_importadas,D,36,31_32_muebles_otras_manufacturas,19566000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,mapeado
2001,fbcf,E,,,1873450000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,no,no_mapeado_o_no_usado
2001,adquisiciones_importadas,E,,,1707000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,no,no_mapeado_o_no_usado
2001,fbcf,E,40,,1775833000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,no_mapeado_o_no_usado
2001,adquisiciones_importadas,E,40,,0.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,no_mapeado_o_no_usado
2001,fbcf,E,41,,97617000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,no_mapeado_o_no_usado
2001,adquisiciones_importadas,E,41,,1707000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,no_mapeado_o_no_usado
2001,fbcf,G,,,1513529000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,no,no_mapeado_o_no_usado
2001,adquisiciones_importadas,G,,,106040000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,no,no_mapeado_o_no_usado
2001,fbcf,G,50-51,,742536000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,no_mapeado_o_no_usado
2001,adquisiciones_importadas,G,50-51,,98964000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,no_mapeado_o_no_usado
2001,fbcf,G,52,,770993000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,no_mapeado_o_no_usado
2001,adquisiciones_importadas,G,52,,7076000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,si,no_mapeado_o_no_usado
2001,fbcf,H,,,2018610000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,no,no_mapeado_o_no_usado
2001,adquisiciones_importadas,H,,,5081000.0,2 Digitos/EAE_cu14afe2_01.xls,C14_2dig_2001,no,no_mapeado_o_no_usado
