anno,nivel_panel,seccion,grupo_clasificacion,clasificacion_mussi,descripcion_nivel,n_subramas_fuente,componentes_divisiones,componentes_codigos_2dig,componentes_descripciones,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,consumo_capital_fijo,impuestos_netos,stock_capital,stock_capital_imputado,fbcf,fbkf_maq_eq,adquisiciones_importadas,adquisiciones_origen_importado,importaciones_maquinaria,rotacion_calibrada_sobre_6_6,vab_pb_estimado,consumo_intermedio_estimado,consumo_intermedio,costo_laboral,capital_variable_adelantado,capital_circulante_constante_adelantado,capital_circulante_adelantado,capital_total_adelantado,ganancia_pb,ganancia_pp,tasa_ganancia_pb,tasa_ganancia_pp,intereses_industria_eaae_ajuste_90_mill_usd,participacion_vbp_pp_industria,participacion_intereses_industria,intereses_industria_pesos,metodo_intereses,ganancia_pb_desp_intereses,ganancia_pp_desp_intereses,tasa_ganancia_pb_desp_intereses,tasa_ganancia_pp_desp_intereses
2020,industria_total,industria-total,industria_total,Industria total,Industria manufacturera EAAE,21,10|11 y 12|13|14|15|16|17|18|19|20|21|22|23|24|25|26 y 27|28|29 y 30|31|32|33,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33,"Elaboración de productos alimenticios.|Elaboración de bebidas y elaboración de productos de tabaco|Fabricación de productos textiles.|Fabricación de prendas de vestir.|Fabricación de cueros y productos conexos.|Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.|Fabricación de papel y de los productos de papel.|Actividades de impresión y reproducción de grabaciones.|Fabricación de coque y de productos de la refinación del petróleo.|Fabricación de sustancias y productos químicos.|Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.|Fabricación de productos de caucho y plástico.|Fabricación de otros productos minerales no metálicos.|Fabricación de metales comunes.|Fabricación de productos derivados del metal, excepto maquinaria y equipo.|Fabricación de los productos informáticos, electrónicos y ópticos. Fabricación de equipo eléctrico.|Fabricación de maquinaria y equipo n.c.p.|Fabricación de vehículos automotores, remolques y semirremolques. Fabricación de otros tipos de equipo de transporte.|Fabricación de muebles.|Otras industrias manufactureras.|Reparación e instalación de la maquinaria y equipo.",600817528391.4976,569255108499.0305,182963110731.0086,151400690838.54153,78278216489.3034,84764.46474072084,19749525803.346455,-1827346818.600414,296322600807.0521,296322600807.0521,40941559983.906876,9808505040.448872,3275448937.7523828,2709351603.1506634,5984800540.903046,4.221527857148332,151400690838.54153,449416837552.95605,417854417660.48895,78278216489.3034,18542627015.182323,106458337540.50836,117524425027.70384,421323565362.7428,53372948545.89168,84935368438.35873,0.12667923879344298,0.2015917822332885,95.80891549664092,1,1,4023974450.8589187,intereses_industria_total_convertidos_a_pesos_con_tcc,49348974095.03276,80911393987.49982,0.11712844510025272,0.19204098854009824
2020,grupo_subramas_industriales,exportadora,exportadora,Exportadora,Subramas industriales exportadoras,7,10|11 y 12|13|15|16|17|22,10|11|12|13|15|16|17|22,"Elaboración de productos alimenticios.|Elaboración de bebidas y elaboración de productos de tabaco|Fabricación de productos textiles.|Fabricación de cueros y productos conexos.|Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.|Fabricación de papel y de los productos de papel.|Fabricación de productos de caucho y plástico.",405327577088.6082,394639788484.85016,106285779803.60503,95597991199.84694,48367393925.79378,57534.84570976969,14380324243.29963,-1529409001.2260473,230274964915.07693,230274964915.07693,33389003293.25257,7063571297.296092,1059400481.8126935,2081994530.934551,3141395012.7472444,5.05,95597991199.84694,309729585888.7613,299041797285.0032,48367393925.79378,9577701767.483917,61332591265.10125,68793899249.66277,301185257947.6621,32850273030.753525,43538061634.51161,0.10906998986139627,0.14455575259954243,95.80891549664092,0.6746267509434137,0.656,2639727239.7634506,asignacion_intereses_industria_microdatos_ciu_65_6_exportadora_34_4_mercado_interno,30210545790.990074,40898334394.74816,0.10030552622944067,0.13579128896758683
2020,grupo_subramas_industriales,mercado-interno,mercado_interno,Mercado interno,Subramas industriales de mercado interno,13,14|18|20|21|23|24|25|26 y 27|28|29 y 30|31|32|33,14|18|20|21|23|24|25|26|27|28|29|30|31|32|33,"Fabricación de prendas de vestir.|Actividades de impresión y reproducción de grabaciones.|Fabricación de sustancias y productos químicos.|Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.|Fabricación de otros productos minerales no metálicos.|Fabricación de metales comunes.|Fabricación de productos derivados del metal, excepto maquinaria y equipo.|Fabricación de los productos informáticos, electrónicos y ópticos. Fabricación de equipo eléctrico.|Fabricación de maquinaria y equipo n.c.p.|Fabricación de vehículos automotores, remolques y semirremolques. Fabricación de otros tipos de equipo de transporte.|Fabricación de muebles.|Otras industrias manufactureras.|Reparación e instalación de la maquinaria y equipo.",121805436700.98468,121733522819.27568,48933101504.40358,48861187622.69459,25560225416.509624,24968.619030951155,4108522433.046825,-309913126.37436664,49986924384.97517,49986924384.97517,6623465374.654305,2412418561.152779,2216048455.9396896,616398908.2161121,2832447364.155802,2.76,48861187622.69459,72944249078.2901,72872335196.5811,25560225416.509624,9260951237.865807,26429075753.003662,35663971236.627075,85676951375.84464,19192439773.13814,19264353654.847134,0.2240093685050186,0.22484872938976255,95.80891549664092,0.20273282809687815,0.344,1384247211.0954678,asignacion_intereses_industria_microdatos_ciu_65_6_exportadora_34_4_mercado_interno,17808192562.042675,17880106443.751667,0.20785278042775265,0.20869214131249658
2020,grupo_subramas_industriales,combustible,combustible,Combustible,Subramas industriales de combustible,1,19,19,Fabricación de coque y de productos de la refinación del petróleo.,73684514601.90465,52881797194.90465,27744229423,6941512016.000003,4350597147,2261,1260679127,11975309,16060711507,16060711507,929091316,332515182,0,10958164,10958164,3.0778,6941512016.000003,66743002585.90465,45940285178.90465,4350597147,1413541213.5291443,21685295531.192623,16339879890.150318,39159548251.72177,1330235742.0000029,22132953149,0.03396963962528641,0.5651993993068307,95.80891549664092,0.12264042095970812,0,0,sin_asignacion_analitica_intereses_ciu_segmentos_2020_2024,1330235742.0000029,22132953149,0.03396963962528641,0.5651993993068307
2021,industria_total,industria-total,industria_total,Industria total,Industria manufacturera EAAE,21,10|11 y 12|13|14|15|16|17|18|19|20|21|22|23|24|25|26 y 27|28|29 y 30|31|32|33,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33,"Elaboración de productos alimenticios.|Elaboración de bebidas y elaboración de productos de tabaco|Fabricación de productos textiles.|Fabricación de prendas de vestir.|Fabricación de cueros y productos conexos.|Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.|Fabricación de papel y de los productos de papel.|Actividades de impresión y reproducción de grabaciones.|Fabricación de coque y de productos de la refinación del petróleo.|Fabricación de sustancias y productos químicos.|Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.|Fabricación de productos de caucho y plástico.|Fabricación de otros productos minerales no metálicos.|Fabricación de metales comunes.|Fabricación de productos derivados del metal, excepto maquinaria y equipo.|Fabricación de los productos informáticos, electrónicos y ópticos. Fabricación de equipo eléctrico.|Fabricación de maquinaria y equipo n.c.p.|Fabricación de vehículos automotores, remolques y semirremolques. Fabricación de otros tipos de equipo de transporte.|Fabricación de muebles.|Otras industrias manufactureras.|Reparación e instalación de la maquinaria y equipo.",740451400483.521,729519030143.1283,224974680121.47305,214042309781.08038,84122098877.86562,86333.09437826528,21739333748.875946,-1158610716.344064,377193985828.289,377193985828.289,83942983585.5647,18626904296.777473,3312365312.6912756,6003788394.3875475,9316153707.078821,4.172514766421319,214042309781.08038,526409090702.4406,515476720362.048,84122098877.86562,20161006871.64624,126161109108.29227,143702024511.7496,523516101808.22754,108180877154.33882,119113247494.73149,0.20664288410744477,0.227525470722512,78.27593048164893,1,1,3409699531.7806273,intereses_industria_total_convertidos_a_pesos_con_tcc,104771177622.5582,115703547962.95087,0.200129809304199,0.22101239591926622
2021,grupo_subramas_industriales,exportadora,exportadora,Exportadora,Subramas industriales exportadoras,7,10|11 y 12|13|15|16|17|22,10|11|12|13|15|16|17|22,"Elaboración de productos alimenticios.|Elaboración de bebidas y elaboración de productos de tabaco|Fabricación de productos textiles.|Fabricación de cueros y productos conexos.|Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.|Fabricación de papel y de los productos de papel.|Fabricación de productos de caucho y plástico.",511009593127.2319,500178472948.4854,157596691301.31897,146765571122.57245,52277798970.76516,57604.76760096743,15380205240.567425,-1753162532.82178,307945074990.15765,307945074990.15765,72163583858.87314,12456260594.33372,2321490036.4758344,4909455617.614324,7230945654.0901575,5.05,146765571122.57245,364244022004.6594,353412901825.9129,52277798970.76516,10352039400.151518,72127529109.83356,80334792236.96596,390424643500.1427,79107566911.23987,89938687089.98639,0.20261929729138872,0.2303611941185099,78.27593048164893,0.6901325229360608,0.656,2236762892.8480916,asignacion_intereses_industria_microdatos_ciu_65_6_exportadora_34_4_mercado_interno,76870804018.39177,87701924197.13829,0.19689024578276568,0.22463214260988684
2021,grupo_subramas_industriales,mercado-interno,mercado_interno,Mercado interno,Subramas industriales de mercado interno,13,14|18|20|21|23|24|25|26 y 27|28|29 y 30|31|32|33,14|18|20|21|23|24|25|26|27|28|29|30|31|32|33,"Fabricación de prendas de vestir.|Actividades de impresión y reproducción de grabaciones.|Fabricación de sustancias y productos químicos.|Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.|Fabricación de otros productos minerales no metálicos.|Fabricación de metales comunes.|Fabricación de productos derivados del metal, excepto maquinaria y equipo.|Fabricación de los productos informáticos, electrónicos y ópticos. Fabricación de equipo eléctrico.|Fabricación de maquinaria y equipo n.c.p.|Fabricación de vehículos automotores, remolques y semirremolques. Fabricación de otros tipos de equipo de transporte.|Fabricación de muebles.|Otras industrias manufactureras.|Reparación e instalación de la maquinaria y equipo.",149816439686.20496,149715189524.5588,54431182307.15414,54329932145.507965,27595712009.100452,26560.326777297847,5093385817.308523,-442133611.52227986,52972837802.13133,52972837802.13133,9632513798.691555,4643887599.443754,990875276.2154415,1054979181.7732232,2045854457.9886646,2.76,54329932145.507965,95486507540.69699,95385257379.05081,27595712009.100452,9998446380.10886,34596560703.151085,44558322242.08379,97567844885.39127,21640834319.098988,21742084480.74516,0.22180293460944578,0.22284067569889082,78.27593048164893,0.20233122604450957,0.344,1172936638.9325356,asignacion_intereses_industria_microdatos_ciu_65_6_exportadora_34_4_mercado_interno,20467897680.16645,20569147841.812622,0.20978118051299796,0.210818921602443
2021,grupo_subramas_industriales,combustible,combustible,Combustible,Subramas industriales de combustible,1,19,19,Fabricación de coque y de productos de la refinación del petróleo.,79625367670.0841,79625367670.0841,12946806512.99997,12946806512.99997,4248587898.000005,2168,1265742691,1036685427.999996,16276073036,16276073036,2146885928,1526756103,0,39353595,39353595,3.0778,12946806512.99997,66678561157.08414,66678561157.08414,4248587898.000005,1380397653.5187488,21664358034.012653,23044755687.5314,39320828723.5314,7432475923.999965,7432475923.999965,0.1890213448007017,0.1890213448007017,78.27593048164893,0.1075362510194296,0,0,sin_asignacion_analitica_intereses_ciu_segmentos_2020_2024,7432475923.999965,7432475923.999965,0.1890213448007017,0.1890213448007017
2022,industria_total,industria-total,industria_total,Industria total,Industria manufacturera EAAE,21,10|11 y 12|13|14|15|16|17|18|19|20|21|22|23|24|25|26 y 27|28|29 y 30|31|32|33,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33,"Elaboración de productos alimenticios.|Elaboración de bebidas y elaboración de productos de tabaco|Fabricación de productos textiles.|Fabricación de prendas de vestir.|Fabricación de cueros y productos conexos.|Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.|Fabricación de papel y de los productos de papel.|Actividades de impresión y reproducción de grabaciones.|Fabricación de coque y de productos de la refinación del petróleo.|Fabricación de sustancias y productos químicos.|Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.|Fabricación de productos de caucho y plástico.|Fabricación de otros productos minerales no metálicos.|Fabricación de metales comunes.|Fabricación de productos derivados del metal, excepto maquinaria y equipo.|Fabricación de los productos informáticos, electrónicos y ópticos. Fabricación de equipo eléctrico.|Fabricación de maquinaria y equipo n.c.p.|Fabricación de vehículos automotores, remolques y semirremolques. Fabricación de otros tipos de equipo de transporte.|Fabricación de muebles.|Otras industrias manufactureras.|Reparación e instalación de la maquinaria y equipo.",887448109461.1194,847221297274.5154,265536050207.7651,225309238021.16113,95609914033.87782,89467.50608878564,21523441673.283985,-2700847763.2316766,392603477898.92596,392603477898.92596,69687013752.2493,17242949725.568813,4140576932.681215,5180380048.541034,9320956981.222248,4.197996242570065,225309238021.16113,662138871439.9583,621912059253.3542,95609914033.87782,22775130921.828613,157727361622.0744,170920108505.8514,573105970442.829,108175882313.99931,148402694500.60327,0.18875371727573123,0.2589445969057609,102.42947367494128,1,1,4230337262.775074,intereses_industria_total_convertidos_a_pesos_con_tcc,103945545051.22424,144172357237.8282,0.1813722948496023,0.25156317447963195
2022,grupo_subramas_industriales,exportadora,exportadora,Exportadora,Subramas industriales exportadoras,7,10|11 y 12|13|15|16|17|22,10|11|12|13|15|16|17|22,"Elaboración de productos alimenticios.|Elaboración de bebidas y elaboración de productos de tabaco|Fabricación de productos textiles.|Fabricación de cueros y productos conexos.|Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.|Fabricación de papel y de los productos de papel.|Fabricación de productos de caucho y plástico.",591689119674.7627,579113100586.6084,161286588346.86618,148710569258.71204,58971111597.250206,59092.48026523313,15848133133.78554,-2816503815.1253862,320979900189.997,320979900189.997,57521791911.06269,10700679919.242277,3109320461.0234675,4350274443.278438,7459594904.301905,5.05,148710569258.71204,442978550416.05066,430402531327.8965,58971111597.250206,11677447841.039644,87718524834.86153,96905671866.36568,420375872865.8982,73891324527.6763,86467343615.83041,0.17577441831740892,0.20569054790500282,102.42947367494128,0.6667309483977053,0.656,2775101244.380449,asignacion_intereses_industria_microdatos_ciu_65_6_exportadora_34_4_mercado_interno,71116223283.29585,83692242371.44997,0.16917294229676746,0.19908907188436137
