fuente,archivo,hoja,tabla,codigo_fuente,codigo_normalizado,nivel_codigo,seccion_ciiu_fuente,descripcion,anno,valor,unidad,dato_preliminar,nota_fuente
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2005,38229924.6779516,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2006,43346186.6385614,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2007,48156099.003794,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2008,60208003.6232087,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2009,59680160.5469001,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2010,62194570.0649232,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2011,85842073.2099306,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2012,89145766.9490004,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2013,95546928.3459408,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2014,95744115.4406646,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2015,95493980.0736724,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2016,100798094.204475,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2017,94328464.3685184,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2018,111005184.172141,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A-B-C,A-B-C,agregado_secciones,A,ACTIVIDADES PRIMARIAS,2019,124761269.487475,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2005,36236634.4779191,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2006,40849589.6578074,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2007,45704241.6302538,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2008,57375387.8143851,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2009,55090386.4139246,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2010,57112442.5999648,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2011,80560169.0759545,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2012,83322657.2004223,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2013,88840091.2815641,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2014,88609641.8205417,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2015,88534883.0066769,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2016,93132383.0926553,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2017,86629976.8047153,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2018,102581083.395525,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A,A,seccion,A,"AGRICULTURA, GANADERIA, CAZA Y SILVICULTURA",2019,115568916.891887,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2005,9260635.15044049,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2006,12262205.9741803,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2007,13856866.6578017,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2008,22774676.243958,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2009,27580610.0204651,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2010,21750428.5944,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2011,36391149.5421447,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2012,37789751.7609571,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2013,40776284.2971696,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2014,34066086.2250698,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2015,27198202.6267761,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2016,33134347.1004366,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2017,24310660.5618578,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2018,31956910.1613153,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011,A.011,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2019,33721220.4833499,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011T.0,A.011T.0,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2005,9260635.15044049,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011T.0,A.011T.0,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2006,12262205.9741803,miles_de_pesos_corrientes,False,
