fuente,archivo,pagina,tabla,variable,variable_etiqueta,anno,valor,unidad
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria,Indice de horas trabajadas en la industria,2019,95.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria,Indice de horas trabajadas en la industria,2020,84.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria,Indice de horas trabajadas en la industria,2021,90.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria,Indice de horas trabajadas en la industria,2022,91.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria,Indice de horas trabajadas en la industria,2023,91.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria,Indice de horas trabajadas en la industria,2024,92.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria,Indice de horas trabajadas en la industria,2025,89.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria_variacion_anual,Indice de horas trabajadas en la industria - Variación anual,2019,-4.5,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria_variacion_anual,Indice de horas trabajadas en la industria - Variación anual,2020,-12.1,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria_variacion_anual,Indice de horas trabajadas en la industria - Variación anual,2021,7.2,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,indice_de_horas_trabajadas_en_la_industria_variacion_anual,Indice de horas trabajadas en la industria - Variación anual,2022,1.6,porcentaje
