fuente,archivo,pagina,tabla,grupo_costo,componente,componente_etiqueta,sector_codigo,sector,anno,valor,unidad
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,1_costos_de_produccion,1. Costos de Producción,15_16,"Alimentos, Bebidas y Tabaco",2005,100.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,1_costos_de_produccion,1. Costos de Producción,17_18_19,"Textiles, Vestimenta y Cuero",2005,100.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,1_costos_de_produccion,1. Costos de Producción,20,Madera y productos de madera,2005,100.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,1_costos_de_produccion,1. Costos de Producción,21_22,Papel e imprenta,2005,100.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,1_costos_de_produccion,1. Costos de Producción,23,Prod. derivados del petroleo,2005,100.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,1_costos_de_produccion,1. Costos de Producción,24_25,"Prod. quimicos, caucho y plastico",2005,100.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,1_costos_de_produccion,1. Costos de Producción,26_27,Minerales no metalicos y metalicas basicas,2005,100.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,1_costos_de_produccion,1. Costos de Producción,28_29_30,"Metalicos, Maq. y Equipos",2005,100.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,1_costos_de_produccion,1. Costos de Producción,31_32_33,Maq. y aparatos electricos,2005,100.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,1_costos_de_produccion,1. Costos de Producción,34_35,Vehiculos y equipo de transporte,2005,100.0,porcentaje
