fuente,archivo,pagina,tabla,variable,variable_etiqueta,anno,valor,unidad
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_industria_en_maq_y_equipos_mill_de_usd,FBKF Industria en Maq. Y Equipos (mill. de USD)*,2018,554.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_industria_en_maq_y_equipos_mill_de_usd,FBKF Industria en Maq. Y Equipos (mill. de USD)*,2019,497.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_industria_en_maq_y_equipos_mill_de_usd,FBKF Industria en Maq. Y Equipos (mill. de USD)*,2020,855.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_industria_en_maq_y_equipos_mill_de_usd,FBKF Industria en Maq. Y Equipos (mill. de USD)*,2021,1135.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_industria_en_maq_y_equipos_mill_de_usd,FBKF Industria en Maq. Y Equipos (mill. de USD)*,2022,980.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_industria_en_maq_y_equipos_mill_de_usd,FBKF Industria en Maq. Y Equipos (mill. de USD)*,2023,1159.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_ind_vab_ind_en_maq_y_equipos_fuente_ine_y_estimaciones_propias,FBKF Ind / VAB Ind. En Maq. y Equipos (Fuente: INE y estimaciones propias)**,2018,14.9,porcentaje
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_ind_vab_ind_en_maq_y_equipos_fuente_ine_y_estimaciones_propias,FBKF Ind / VAB Ind. En Maq. y Equipos (Fuente: INE y estimaciones propias)**,2019,15.4,porcentaje
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_ind_vab_ind_en_maq_y_equipos_fuente_ine_y_estimaciones_propias,FBKF Ind / VAB Ind. En Maq. y Equipos (Fuente: INE y estimaciones propias)**,2020,29.1,porcentaje
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_ind_vab_ind_en_maq_y_equipos_fuente_ine_y_estimaciones_propias,FBKF Ind / VAB Ind. En Maq. y Equipos (Fuente: INE y estimaciones propias)**,2021,32.6,porcentaje
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_ind_vab_ind_en_maq_y_equipos_fuente_ine_y_estimaciones_propias,FBKF Ind / VAB Ind. En Maq. y Equipos (Fuente: INE y estimaciones propias)**,2022,23.7,porcentaje
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,fbkf_ind_vab_ind_en_maq_y_equipos_fuente_ine_y_estimaciones_propias,FBKF Ind / VAB Ind. En Maq. y Equipos (Fuente: INE y estimaciones propias)**,2023,,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,ied_industria_mill_de_usd,IED Industria (mill. de USD),2018,203.0,indice_o_nivel
ciu,Inversion-y-capacidad-instalada-Indicadores-Octubre-2022.pdf,3,imeq_fbkf,ied_industria_mill_de_usd,IED Industria (mill. de USD),2019,487.0,indice_o_nivel
