fuente,archivo,pagina,tabla,tipo_indice,sector,anno,medida,valor,unidad
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2019,indice,126.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2020,indice,122.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2021,indice,121.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2022,indice,120.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2023,indice,122.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2024,indice,125.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2025,indice,130.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2020,variacion_anual,-2.5,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2021,variacion_anual,-1.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2022,variacion_anual,-0.6,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2023,variacion_anual,1.2,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2024,variacion_anual,2.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,INDUSTRIAS MANUFACTURERAS,2025,variacion_anual,3.9,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Alimentos, Bebidas y Tabaco",2019,indice,136.0,indice_1995_100
