fuente,archivo,pagina,tabla,anno,trimestre,variable,variable_etiqueta,valor,unidad
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,2,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,158.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,2,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,432.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,2,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,431.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,2,imeq_total_economia_sin_celulosa,Economía sin celulosa,454.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,3,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,208.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,3,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,552.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,3,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,517.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,3,imeq_total_economia_sin_celulosa,Economía sin celulosa,533.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,4,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,269.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,4,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,582.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2011,4,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,568.0,indice_2002_100
