fuente,archivo,pagina,tabla,anno,trimestre,variable,valor,unidad
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2011,1,stock_capital_fijo_maquinaria_equipos_industria,123.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2011,2,stock_capital_fijo_maquinaria_equipos_industria,124.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2011,3,stock_capital_fijo_maquinaria_equipos_industria,126.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2011,4,stock_capital_fijo_maquinaria_equipos_industria,131.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2012,1,stock_capital_fijo_maquinaria_equipos_industria,132.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2012,2,stock_capital_fijo_maquinaria_equipos_industria,132.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2012,3,stock_capital_fijo_maquinaria_equipos_industria,134.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2012,4,stock_capital_fijo_maquinaria_equipos_industria,137.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2013,1,stock_capital_fijo_maquinaria_equipos_industria,139.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2013,2,stock_capital_fijo_maquinaria_equipos_industria,143.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2013,3,stock_capital_fijo_maquinaria_equipos_industria,147.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2013,4,stock_capital_fijo_maquinaria_equipos_industria,149.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2014,1,stock_capital_fijo_maquinaria_equipos_industria,150.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2014,2,stock_capital_fijo_maquinaria_equipos_industria,151.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2014,3,stock_capital_fijo_maquinaria_equipos_industria,157.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2014,4,stock_capital_fijo_maquinaria_equipos_industria,164.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2015,1,stock_capital_fijo_maquinaria_equipos_industria,164.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2015,2,stock_capital_fijo_maquinaria_equipos_industria,163.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2015,3,stock_capital_fijo_maquinaria_equipos_industria,165.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2015,4,stock_capital_fijo_maquinaria_equipos_industria,167.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2016,1,stock_capital_fijo_maquinaria_equipos_industria,170.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2016,2,stock_capital_fijo_maquinaria_equipos_industria,173.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2016,3,stock_capital_fijo_maquinaria_equipos_industria,175.0,indice_dic_2008_100
ciu,stock-de-capital-2017.pdf,4,stock_capital_fijo_maquinaria_equipos_industria,2016,4,stock_capital_fijo_maquinaria_equipos_industria,176.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2017,1,stock_capital_fijo_maquinaria_equipos_industria,172.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2017,2,stock_capital_fijo_maquinaria_equipos_industria,171.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2017,3,stock_capital_fijo_maquinaria_equipos_industria,169.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2017,4,stock_capital_fijo_maquinaria_equipos_industria,167.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2018,1,stock_capital_fijo_maquinaria_equipos_industria,168.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2018,2,stock_capital_fijo_maquinaria_equipos_industria,168.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2018,3,stock_capital_fijo_maquinaria_equipos_industria,168.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2018,4,stock_capital_fijo_maquinaria_equipos_industria,167.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2019,1,stock_capital_fijo_maquinaria_equipos_industria,167.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2019,2,stock_capital_fijo_maquinaria_equipos_industria,167.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2019,3,stock_capital_fijo_maquinaria_equipos_industria,168.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2019,4,stock_capital_fijo_maquinaria_equipos_industria,166.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2020,1,stock_capital_fijo_maquinaria_equipos_industria,164.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2020,2,stock_capital_fijo_maquinaria_equipos_industria,162.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2020,3,stock_capital_fijo_maquinaria_equipos_industria,164.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2020,4,stock_capital_fijo_maquinaria_equipos_industria,165.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2021,1,stock_capital_fijo_maquinaria_equipos_industria,166.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2021,2,stock_capital_fijo_maquinaria_equipos_industria,169.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2021,3,stock_capital_fijo_maquinaria_equipos_industria,169.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2021,4,stock_capital_fijo_maquinaria_equipos_industria,167.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2022,1,stock_capital_fijo_maquinaria_equipos_industria,165.0,indice_dic_2008_100
ciu,Stock-de-capital_15.pdf,7,stock_capital_fijo_maquinaria_equipos_industria,2022,2,stock_capital_fijo_maquinaria_equipos_industria,163.0,indice_dic_2008_100
