fuente,archivo,hoja_fuente,fuente_serie,anno,periodo_referencia,trimestre_referencia,stock_capital_fijo_maquinaria_equipos_indice_dic_2008_100,stock_capital_fijo_maquinaria_equipos_mill_usd,unidad_indice,unidad_stock,cobertura,fuente_dato
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1988,anio,,20.9,361,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1989,anio,,23.1,400,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1990,anio,,23.7,410,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1991,anio,,33.7,583,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1992,anio,,40.5,701,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1993,anio,,43.4,751,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1994,anio,,48,831,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1995,anio,,54.9,950,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1996,anio,,57.9,1003,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1997,anio,,59.6,1032,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1998,anio,,52,900,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,1999,anio,,48.3,836,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,2000,anio,,49.4,855,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,2001,anio,,48.3,836,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,2002,anio,,42.2,731,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,2003,anio,,40.8,707,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,2004,anio,,42.9,742,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,2005,anio,,52,900,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,2006,anio,,58.9,1019,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,2007,anio,,74.6,1292,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,2008,anio,,100,1731,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
ciu,ciu_stock_capital_1988_2025.xlsx,Serie Anual,serie_anual,2009,anio,,111.4,1928,indice_dic_2008_100,millones_usd_corrientes,industria_sin_refineria_ancap_ni_zonas_francas,"CIU/DEE en base a INE, SmartDATA"
