anno,universo,seccion_fuente,division_publicada,descripcion,fuente,ciiu_version,seccion,nivel_agregacion,vbp_pp,vab_pp,remuneraciones,puestos_trabajo,consumo_intermedio,impuestos_netos,consumo_capital_fijo,excedente_explotacion,fbcf,adquisiciones_activo_fijo_total,construccion_cuenta_propia,adquisiciones_total,adquisiciones_importadas,adquisiciones_en_plaza,disposiciones_activo_fijo,stock_capital,stock_edificios_construcciones,stock_maquinaria_equipos,stock_otros,stock_activos_intangibles,variacion_existencias,variacion_existencias_mercaderias_reventa,variacion_existencias_materias_primas,variacion_existencias_productos_en_proceso,variacion_existencias_productos_terminados,variacion_existencias_envases_embalajes,variacion_existencias_repuestos_accesorios,fbkf_edificios_construcciones,fbkf_maq_eq,fbkf_otros,fbkf_activos_intangibles
1998,empresas_5_mas,TOTAL,TOTAL,TOTAL,EAE 1998-2001 2 digitos,Rev.3,TOTAL,economia_total,160590248000,73594723000,35464447000,353260,86995525000,8078478000,4266546000,25785252000,9620593000,10542107000,228195000,10313912000,3306208000,7007704000,-921514000,46333973000,17533184000,20436876000,7056492000,1307421000,4099399000,2470833000,607717000,112478000,768906000,29308000,110157000,2497590000,4396590000,1901505000,824908000
1998,empresas_5_mas,D,,INDUSTRIAS MANUFACTURERAS,EAE 1998-2001 2 digitos,Rev.3,C,seccion,87065912000,33321734000,11684744000,110715,53744178000,6547403000,2416091000,12673496000,3664120000,3919442000,209434000,3710008000,1495282000,2214726000,-255322000,22068546000,6534447000,13097575000,2002221000,434303000,1610429000,69590000,609802000,100620000,759720000,24597000,46100000,721886000,2280735000,481309000,180190000
1998,empresas_5_mas,G,,"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES, MOTOCICLETAS, EFECTOS PERSONALES Y ENSERES DOMÉSTICOS",EAE 1998-2001 2 digitos,Rev.3,G,seccion,28274402000,16935061000,7517694000,88399,11339341000,1355828000,720093000,7341446000,2263938000,2424821000,9687000,2415134000,141288000,2273846000,-160883000,7253701000,2843769000,1373056000,2335538000,701338000,2376845000,2336889000,3114000,11609000,9585000,4078000,11570000,635081000,352969000,702079000,573809000
1998,empresas_5_mas,H,,HOTELES Y RESTORANES,EAE 1998-2001 2 digitos,Rev.3,I,seccion,3382930000,1264469000,844868000,15851,2118461000,26602000,120432000,272567000,345841000,347502000,0,347502000,4632000,342870000,-1661000,2960329000,2148189000,406656000,367105000,38379000,37003000,31393000,-320000,3000,-128000,536000,5519000,137962000,92878000,109501000,5500000
1998,empresas_5_mas,I,,TRANSPORTE ALMACENAMIENTO Y COMUNICACIONES,EAE 1998-2001 2 digitos,Rev.3,H_J,seccion,16974296000,8090010000,4067975000,32551,8884286000,126506000,601290000,3294239000,1916079000,2307000000,2603000,2304397000,1538270000,766127000,-390921000,6990297000,1249778000,4124584000,1558573000,57362000,44515000,19794000,255000,0,0,-48000,24514000,203893000,1251564000,412173000,48449000
1998,empresas_5_mas,K,,ACTIVIDADES INMOBILIARIAS EMPRESARIALES Y DE ALQUILER,EAE 1998-2001 2 digitos,Rev.3,L_M_N,seccion,6038486000,3258437000,2131969000,28754,2780049000,-10606000,135878000,1001196000,210316000,284049000,461000,283588000,44978000,238610000,-73733000,1138019000,402466000,292266000,423466000,19821000,20841000,3553000,-5200000,246000,-32000,132000,22142000,17377000,85218000,97538000,10183000
1998,empresas_5_mas,M,,ENSEÑANZA,EAE 1998-2001 2 digitos,Rev.3,P,seccion,2576578000,2048190000,1657886000,24237,528388000,853000,45552000,343899000,270632000,283599000,0,283599000,4257000,279342000,-12967000,1218978000,1082214000,58738000,76637000,1389000,-63000,3000,-9000,0,-76000,17000,2000,221970000,35633000,12334000,695000
1998,empresas_5_mas,N,,SERVICIOS SOCIALES Y DE SALUD,EAE 1998-2001 2 digitos,Rev.3,Q,seccion,16277644000,8676822000,7559311000,52753,7600822000,31892000,227210000,858409000,949667000,975694000,6010000,969684000,77501000,892183000,-26027000,4704103000,3272321000,1084001000,292952000,54829000,9829000,9611000,75000,0,-163000,-4000,310000,559421000,297593000,86571000,6082000
1998,empresas_5_mas,D,20,"PRODUCCIÓN DE MADERA Y PRODUCTOS DE MADERA, CAÑA, MIMBRE, CORCHO Y OTROS MATERIALES EXCEPTO MUEBLES",EAE 1998-2001 2 digitos,Rev.3,C,division_2_digitos,671636000,232056000,90271000,1704,439580000,-5467000,17521000,129731000,34362000,36256000,163000,36093000,20600000,15493000,-1894000,242457000,45302000,165905000,31040000,210000,22125000,-216000,14659000,1694000,5114000,-29000,903000,1986000,26532000,5635000,209000
1998,empresas_5_mas,D,23,FABRICACIÓN DE PRODUCTOS DIVERSOS DERIVADOS DEL PETROLEO Y DEL CARBÓN,EAE 1998-2001 2 digitos,Rev.3,C,division_2_digitos,13195516000,8567331000,428827000,1599,4628185000,4593097000,174100000,3371307000,75656000,88564000,69288000,19276000,13764000,5512000,-12908000,1954992000,299674000,1625579000,29739000,0,227368000,-5000,196544000,1572000,29263000,-6000,0,67619000,2525000,5512000,0
1998,empresas_5_mas,D,36,FABRICACIÓN DE MUEBLES; INDUSTRIAS MANUFACTURERAS N.C.P.,EAE 1998-2001 2 digitos,Rev.3,C,division_2_digitos,1247711000,467797000,237692000,3574,779914000,2940000,45799000,181366000,55459000,62174000,0,62174000,35820000,26354000,-6715000,255042000,33960000,123483000,89004000,8595000,46049000,10014000,-3134000,32098000,2378000,5200000,-507000,3926000,32239000,12022000,7272000
1998,empresas_5_mas,G,52,COMERCIO AL POR MENOR EXCEPTO EL COMERCIO DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS; REPARACIÓN DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,EAE 1998-2001 2 digitos,Rev.3,G,division_2_digitos,8601175000,5156188000,2929545000,43570,3444987000,59057000,265008000,1902578000,1475527000,1494802000,3506000,1491296000,34817000,1456479000,-19275000,3027470000,1131396000,366809000,951228000,578037000,-340193000,-331354000,4422000,-361000,-15749000,2775000,74000,434095000,140262000,351300000,549870000
1998,empresas_5_mas,H,55,HOTELES Y RESTORANES,EAE 1998-2001 2 digitos,Rev.3,I,division_2_digitos,3382930000,1264469000,844868000,15851,2118461000,26602000,120432000,272567000,345841000,347502000,0,347502000,4632000,342870000,-1661000,2960329000,2148189000,406656000,367105000,38379000,37003000,31393000,-320000,3000,-128000,536000,5519000,137962000,92878000,109501000,5500000
1998,empresas_5_mas,K,71,"ALQUILER DE MAQUINARIA Y EQUIPO, EFECTOS PERSONALES Y ENSERES DOMÉSTICOS",EAE 1998-2001 2 digitos,Rev.3,L_M_N,division_2_digitos,288560000,173812000,47326000,724,114748000,12873000,27684000,85929000,52648000,70818000,0,70818000,4054000,66764000,-18170000,208647000,7146000,55008000,146173000,320000,6202000,3492000,-7000,0,0,0,2717000,0,23058000,29805000,-215000
1998,empresas_5_mas,K,72,INFORMÁTICA Y ACTIVIDADES CONEXAS,EAE 1998-2001 2 digitos,Rev.3,L_M_N,division_2_digitos,719459000,444434000,276073000,1088,275025000,2473000,14976000,150912000,4979000,54978000,0,54978000,35269000,19709000,-49999000,110142000,41027000,34686000,28784000,5645000,16516000,-2075000,1000,0,0,287000,18303000,891000,2517000,1500000,71000
1998,empresas_5_mas,K,73,INVESTIGACIÓN Y DESARROLLO,EAE 1998-2001 2 digitos,Rev.3,L_M_N,division_2_digitos,138505000,97630000,74109000,524,40875000,257000,1595000,21669000,4269000,4416000,0,4416000,0,4416000,-147000,20095000,12104000,3764000,4165000,62000,0,0,0,0,0,0,0,891000,1706000,1672000,0
1998,empresas_5_mas,K,74,"SERVICIOS PRESTADOS A LAS EMPRESAS, EXCEPTUANDO EL ALQUILER Y ARRENDAMIENTO DE MAQUINARIA Y EQUIPO",EAE 1998-2001 2 digitos,Rev.3,L_M_N,division_2_digitos,4891962000,2542561000,1734461000,26418,2349401000,-26209000,91623000,742686000,148420000,153837000,461000,153376000,5655000,147721000,-5417000,799135000,342189000,198808000,244344000,13794000,-1877000,2136000,-5194000,246000,-32000,-155000,1122000,15595000,57937000,64561000,10327000
1998,empresas_5_mas,M,80,ENSEÑANZA,EAE 1998-2001 2 digitos,Rev.3,P,division_2_digitos,2576578000,2048190000,1657886000,24237,528388000,853000,45552000,343899000,270632000,283599000,0,283599000,4257000,279342000,-12967000,1218978000,1082214000,58738000,76637000,1389000,-63000,3000,-9000,0,-76000,17000,2000,221970000,35633000,12334000,695000
1998,empresas_5_mas,N,85,ACTIVIDADES RELACIONADAS CON LA SALUD HUMANA,EAE 1998-2001 2 digitos,Rev.3,Q,division_2_digitos,16277644000,8676822000,7559311000,52753,7600822000,31892000,227210000,858409000,949667000,975694000,6010000,969684000,77501000,892183000,-26027000,4704103000,3272321000,1084001000,292952000,54829000,9829000,9611000,75000,0,-163000,-4000,310000,559421000,297593000,86571000,6082000
1998,empresas_5_mas,D,15-16,"ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO",EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,36790461000,11781496000,4448226000,43785,25008965000,2105541000,1173850000,4053879000,1318915000,1418348000,86626000,1331722000,508980000,822742000,-99433000,9064858000,3343406000,4799986000,769300000,152166000,422641000,23672000,59581000,17058000,304392000,13431000,4507000,308019000,800437000,172327000,38132000
1998,empresas_5_mas,D,17-18-19,"FABRICACIÓN DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y TEÑIDO DE PIELES. CURTIEMBRES Y TALLERES DE ACABADO, FABRICACIÓN DE PRODUCTOS Y CALZADO DE CUERO",EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,10634967000,3385443000,1713033000,23118,7249524000,-220401000,283676000,1609135000,414172000,497893000,1243000,496650000,236024000,260626000,-83721000,2871125000,844134000,1654778000,319851000,52362000,64828000,-108784000,-133493000,10796000,290977000,-1725000,7057000,48307000,304069000,45236000,16560000
1998,empresas_5_mas,D,21-22,"FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL. ACTIVIDADES DE ENCUADERNACIÓN, IMPRESIÓN, EDICIÓN Y REPRODUCCIÓN DE GRABACIONES",EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,5326381000,2193539000,1174937000,9259,3132842000,8657000,208926000,801019000,401077000,426233000,15874000,410359000,221155000,189204000,-25156000,2305206000,310438000,1794395000,177976000,22397000,82513000,9079000,47406000,-588000,17950000,138000,8528000,38728000,324487000,36778000,1084000
1998,empresas_5_mas,D,24-25,"FABRICACIÓN DE SUSTANCIAS Y DE PRODUCTOS QUÍMICOS, DE PRODUCTOS DE CAUCHO Y PLÁSTICO",EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,9452137000,3349786000,1769934000,11296,6102351000,17197000,228974000,1333681000,550101000,565956000,4384000,561572000,163390000,398182000,-15855000,2492160000,843980000,1264336000,251085000,132759000,392906000,44697000,286832000,23629000,28009000,6980000,2759000,131546000,264869000,61973000,91713000
1998,empresas_5_mas,D,26-27,FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS. INDUSTRIAS METÁLICAS BÁSICAS,EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,2972815000,1190809000,711752000,4885,1782006000,-1715000,137995000,342777000,426155000,427744000,31123000,396621000,215207000,181414000,-1589000,1447986000,343393000,960980000,111931000,31682000,113316000,7839000,67951000,-1904000,16393000,1831000,21206000,36039000,315482000,62837000,11797000
1998,empresas_5_mas,D,28-29-30,"FABRICACIÓN DE PRODUCTOS METÁLICOS, MAQUINARIAS Y EQUIPOS. CONSTRUCCIÓN DE MAQUINARIA EXCEPTUANDO LA MAQUINARIA ELÉCTRICA. FABRICACIÓN DE MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMÁTICA",EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,2760400000,990365000,561509000,6869,1770035000,5932000,61443000,361481000,130188000,134394000,0,134394000,5686000,128708000,-4206000,570370000,167363000,303672000,99228000,107000,113959000,5726000,51796000,-3535000,60317000,-627000,282000,38384000,64390000,27364000,50000
1998,empresas_5_mas,D,31-32-33,"FABRICACIÓN DE MAQUINARIA Y APARATOS ELÉCTRICOS N.C.P., DE EQUIPOS Y APARATOS DE RADIO, TELEVISIÓN Y COMUNICACIÓN, DE INSTRUMENTOS MÉDICOS, ÓPTICOS Y DE PRECISIÓN, Y DE RELOJES",EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,1257958000,484869000,279081000,2386,773089000,1856000,42615000,161317000,117889000,121060000,257000,120803000,58224000,62579000,-3171000,316724000,90731000,139037000,72778000,14178000,73289000,36035000,15855000,9652000,9944000,195000,1608000,24491000,53553000,31480000,8365000
1998,empresas_5_mas,D,34-35,"FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES, Y DE OTROS TIPOS DE EQUIPO DE TRANSPORTE",EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,2755930000,678243000,269482000,2240,2077687000,39766000,41192000,327803000,140146000,140820000,476000,140344000,16432000,123912000,-674000,547626000,212066000,265424000,50289000,19847000,51435000,41533000,5805000,10148000,-5017000,-791000,-243000,22841000,92152000,20145000,5008000
1998,empresas_5_mas,G,50-51,"COMERCIO, MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS, DE COMBUSTIBLE PARA AUTOMOTORES. COMERCIO AL POR MAYOR Y A COMISIÓN",EAE 1998-2001 2 digitos,Rev.3,G,grupo_divisiones_publicado,19673227000,11778873000,4588149000,44829,7894354000,1296771000,455085000,5438868000,788411000,930019000,6181000,923838000,106471000,817367000,-141608000,4226231000,1712373000,1006247000,1384310000,123301000,2717038000,2668243000,-1308000,11970000,25334000,1303000,11496000,200986000,212707000,350779000,23939000
1998,empresas_5_mas,I,60-61-62-63-64,"TRANSPORTE POR VÍA TERRESTRE Y POR TUBERÍA, POR VÍA ACUÁTICA, POR VÍA AÉREA. ACTIVIDADES DE TRANSPORTE, COMPLEMENTARIAS Y AUXILIARES, DE AGENCIAS DE VIAJE. CORREO Y TELECOMUNICACIONES",EAE 1998-2001 2 digitos,Rev.3,H_J,grupo_divisiones_publicado,16974296000,8090010000,4067975000,32551,8884286000,126506000,601290000,3294239000,1916079000,2307000000,2603000,2304397000,1538270000,766127000,-390921000,6990297000,1249778000,4124584000,1558573000,57362000,44515000,19794000,255000,0,0,-48000,24514000,203893000,1251564000,412173000,48449000
1999,empresas_5_mas,TOTAL,TOTAL,TOTAL,EAE 1998-2001 2 digitos,Rev.3,TOTAL,economia_total,155314995000,71053392000,36161640000,341724,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,empresas_5_mas,D,,INDUSTRIAS MANUFACTURERAS,EAE 1998-2001 2 digitos,Rev.3,C,seccion,81232325000,30603907000,11505732000,103849,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,empresas_5_mas,D,20,"PRODUCCIÓN DE MADERA Y PRODUCTOS DE MADERA, CAÑA, MIMBRE, CORCHO Y OTROS MATERIALES EXCEPTO MUEBLES",EAE 1998-2001 2 digitos,Rev.3,C,division_2_digitos,642249000,195461000,93829000,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,empresas_5_mas,D,23,FABRICACIÓN DE PRODUCTOS DIVERSOS DERIVADOS DEL PETROLEO Y DEL CARBÓN,EAE 1998-2001 2 digitos,Rev.3,C,division_2_digitos,11528963000,6918594000,274951000,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,empresas_5_mas,D,36,FABRICACIÓN DE MUEBLES; INDUSTRIAS MANUFACTURERAS N.C.P.,EAE 1998-2001 2 digitos,Rev.3,C,division_2_digitos,951763000,377468000,198588000,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,empresas_5_mas,D,15-16,"ELABORACIÓN DE PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO",EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,34894905000,11602840000,4495515000,41524,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,empresas_5_mas,D,17-18-19,"FABRICACIÓN DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y TEÑIDO DE PIELES. CURTIEMBRES Y TALLERES DE ACABADO, FABRICACIÓN DE PRODUCTOS Y CALZADO DE CUERO",EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,9300632000,2921054000,1578031000,21216,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,empresas_5_mas,D,21-22,"FABRICACIÓN DE PAPEL Y DE PRODUCTOS DE PAPEL. ACTIVIDADES DE ENCUADERNACIÓN, IMPRESIÓN, EDICIÓN Y REPRODUCCIÓN DE GRABACIONES",EAE 1998-2001 2 digitos,Rev.3,C,grupo_divisiones_publicado,5912997000,2276333000,1270339000,10069,,,,,,,,,,,,,,,,,,,,,,,,,,,
