validacion,estado,anno,cuadro,codigo_rama_original,variable_canonica,detalle,diferencia_abs,diferencia_rel
alineacion_columnas_cuentas,ok,1989,2,,,n=199; consumo_igual_vab=0; impuestos_igual_vab=0; consumo_igual_rem=0; mediana_consumo_vab=0.0628,0.06282231598687295,
alineacion_columnas_cuentas,ok,1990,2,,,n=198; consumo_igual_vab=0; impuestos_igual_vab=0; consumo_igual_rem=0; mediana_consumo_vab=0.0591,0.059142386990610786,
alineacion_columnas_cuentas,ok,1991,2,,,n=208; consumo_igual_vab=0; impuestos_igual_vab=0; consumo_igual_rem=0; mediana_consumo_vab=0.0484,0.04836933498709264,
alineacion_columnas_cuentas,ok,1992,2,,,n=208; consumo_igual_vab=0; impuestos_igual_vab=0; consumo_igual_rem=0; mediana_consumo_vab=0.0439,0.043864399054919706,
alineacion_columnas_cuentas,ok,1993,2,,,n=208; consumo_igual_vab=0; impuestos_igual_vab=0; consumo_igual_rem=0; mediana_consumo_vab=0.0427,0.04265990070613931,
alineacion_columnas_cuentas,ok,1994,2,,,n=207; consumo_igual_vab=0; impuestos_igual_vab=0; consumo_igual_rem=0; mediana_consumo_vab=0.0465,0.04645748257485784,
alineacion_columnas_cuentas,ok,1995,2,,,n=206; consumo_igual_vab=0; impuestos_igual_vab=0; consumo_igual_rem=0; mediana_consumo_vab=0.044,0.044039207503670144,
alineacion_columnas_cuentas,ok,1996,2,,,n=206; consumo_igual_vab=0; impuestos_igual_vab=0; consumo_igual_rem=0; mediana_consumo_vab=0.0431,0.043076447034779614,
alineacion_columnas_cuentas,ok,1997,2,,,n=209; consumo_igual_vab=3; impuestos_igual_vab=3; consumo_igual_rem=3; mediana_consumo_vab=0.0641,0.06409088645222819,
clave_unica_panel,ok,,,,,duplicados=0,,
cobertura_cuadros,ok,1989,2,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1989,5,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1989,9,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1989,16,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1989,17,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1989,19,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1990,2,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1990,5,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1990,9,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1990,16,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1990,17,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1990,19,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1991,2,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1991,5,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1991,9,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1991,16,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1991,17,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1991,19,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1992,2,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1992,5,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1992,9,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1992,16,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1992,17,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1992,19,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1993,2,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1993,5,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1993,9,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1993,16,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1993,17,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1993,19,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1994,2,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1994,5,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1994,9,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1994,16,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1994,17,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1994,19,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1995,2,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1995,5,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1995,9,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1995,16,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1995,17,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1995,19,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1996,2,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1996,5,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1996,9,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1996,16,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1996,17,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1996,19,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1997,2,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1997,5,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1997,9,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1997,16,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1997,17,,,hojas_detectadas=1,,
cobertura_cuadros,ok,1997,19,,,hojas_detectadas=1,,
cobertura_ramas_panel,ok,1989,,,,filas=199; industria_total=1,0,
cobertura_ramas_panel,ok,1990,,,,filas=198; industria_total=1,0,
cobertura_ramas_panel,ok,1991,,,,filas=208; industria_total=1,0,
cobertura_ramas_panel,ok,1992,,,,filas=209; industria_total=1,0,
cobertura_ramas_panel,ok,1993,,,,filas=209; industria_total=1,0,
cobertura_ramas_panel,ok,1994,,,,filas=207; industria_total=1,0,
cobertura_ramas_panel,ok,1995,,,,filas=206; industria_total=1,0,
cobertura_ramas_panel,ok,1996,,,,filas=206; industria_total=1,0,
cobertura_ramas_panel,ok,1997,,,,filas=209; industria_total=1,0,
cobertura_temporal_panel,ok,1989,,,,anio_presente,,
cobertura_temporal_panel,ok,1990,,,,anio_presente,,
cobertura_temporal_panel,ok,1991,,,,anio_presente,,
cobertura_temporal_panel,ok,1992,,,,anio_presente,,
cobertura_temporal_panel,ok,1993,,,,anio_presente,,
cobertura_temporal_panel,ok,1994,,,,anio_presente,,
cobertura_temporal_panel,ok,1995,,,,anio_presente,,
cobertura_temporal_panel,ok,1996,,,,anio_presente,,
cobertura_temporal_panel,ok,1997,,,,anio_presente,,
consumo_capital_fijo_no_negativo,ok,1989,2,3,consumo_capital_fijo,consumo_capital_fijo >= 0,85195000,
consumo_capital_fijo_no_negativo,ok,1989,2,31,consumo_capital_fijo,consumo_capital_fijo >= 0,27375000,
consumo_capital_fijo_no_negativo,ok,1989,2,311,consumo_capital_fijo,consumo_capital_fijo >= 0,20764000,
consumo_capital_fijo_no_negativo,ok,1989,2,3111,consumo_capital_fijo,consumo_capital_fijo >= 0,4439000,
consumo_capital_fijo_no_negativo,ok,1989,2,31111,consumo_capital_fijo,consumo_capital_fijo >= 0,3699000,
consumo_capital_fijo_no_negativo,ok,1989,2,31112,consumo_capital_fijo,consumo_capital_fijo >= 0,497000,
consumo_capital_fijo_no_negativo,ok,1989,2,31113,consumo_capital_fijo,consumo_capital_fijo >= 0,243000,
consumo_capital_fijo_no_negativo,ok,1989,2,3112,consumo_capital_fijo,consumo_capital_fijo >= 0,3320000,
consumo_capital_fijo_no_negativo,ok,1989,2,31120,consumo_capital_fijo,consumo_capital_fijo >= 0,3320000,
consumo_capital_fijo_no_negativo,ok,1989,2,3113,consumo_capital_fijo,consumo_capital_fijo >= 0,927000,
consumo_capital_fijo_no_negativo,ok,1989,2,31130,consumo_capital_fijo,consumo_capital_fijo >= 0,927000,
consumo_capital_fijo_no_negativo,ok,1989,2,3114,consumo_capital_fijo,consumo_capital_fijo >= 0,3025000,
consumo_capital_fijo_no_negativo,ok,1989,2,31140,consumo_capital_fijo,consumo_capital_fijo >= 0,3025000,
consumo_capital_fijo_no_negativo,ok,1989,2,3115,consumo_capital_fijo,consumo_capital_fijo >= 0,1080000,
consumo_capital_fijo_no_negativo,ok,1989,2,31150,consumo_capital_fijo,consumo_capital_fijo >= 0,1080000,
consumo_capital_fijo_no_negativo,ok,1989,2,3116,consumo_capital_fijo,consumo_capital_fijo >= 0,3051000,
consumo_capital_fijo_no_negativo,ok,1989,2,31161,consumo_capital_fijo,consumo_capital_fijo >= 0,946000,
consumo_capital_fijo_no_negativo,ok,1989,2,31162,consumo_capital_fijo,consumo_capital_fijo >= 0,2008000,
consumo_capital_fijo_no_negativo,ok,1989,2,31163,consumo_capital_fijo,consumo_capital_fijo >= 0,96000,
consumo_capital_fijo_no_negativo,ok,1989,2,3117,consumo_capital_fijo,consumo_capital_fijo >= 0,2641000,
consumo_capital_fijo_no_negativo,ok,1989,2,31172,consumo_capital_fijo,consumo_capital_fijo >= 0,186000,
