fuente,archivo,hoja,anno,variable,variable_etiqueta,valor,unidad,fuente_original
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1955,gdp_current,GDP,4.602,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1955,gdp_2005,GDP $Uy2005 (right axis),185022787.789339,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1955,gdp_price_index_base_2005,GDP Price index (base 2005),2.48726119359941e-08,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1955,ipc_index_1983_1989,IPC,0.0004,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1956,gdp_current,GDP,5.163,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1956,gdp_2005,GDP $Uy2005 (right axis),188232554.995255,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1956,gdp_price_index_base_2005,GDP Price index (base 2005),2.7428836633122e-08,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1956,ipc_index_1983_1989,IPC,0.0004,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1957,gdp_current,GDP,6.117,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1957,gdp_2005,GDP $Uy2005 (right axis),190052652.874472,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1957,gdp_price_index_base_2005,GDP Price index (base 2005),3.21858174957453e-08,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1957,ipc_index_1983_1989,IPC,0.0005,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1958,gdp_current,GDP,6.617,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1958,gdp_2005,GDP $Uy2005 (right axis),183350265.413842,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1958,gdp_price_index_base_2005,GDP Price index (base 2005),3.60893941716676e-08,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1958,ipc_index_1983_1989,IPC,0.0006,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1959,gdp_current,GDP,8.865,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1959,gdp_2005,GDP $Uy2005 (right axis),178209718.700917,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1959,gdp_price_index_base_2005,GDP Price index (base 2005),4.9744761759474e-08,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1959,ipc_index_1983_1989,IPC,0.0008,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1960,gdp_current,GDP,13.583,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1960,gdp_2005,GDP $Uy2005 (right axis),184530869.443604,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1960,gdp_price_index_base_2005,GDP Price index (base 2005),7.36082805058869e-08,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1960,ipc_index_1983_1989,IPC,0.0011,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1961,gdp_current,GDP,17.279,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1961,gdp_2005,GDP $Uy2005 (right axis),189818991.660248,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1961,gdp_price_index_base_2005,GDP Price index (base 2005),9.10288261931515e-08,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1961,ipc_index_1983_1989,IPC,0.0014,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1962,gdp_current,GDP,18.841,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1962,gdp_2005,GDP $Uy2005 (right axis),185539302.052359,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1962,gdp_price_index_base_2005,GDP Price index (base 2005),1.01547218252891e-07,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1962,ipc_index_1983_1989,IPC,0.0015,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1963,gdp_current,GDP,22.366,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1963,gdp_2005,GDP $Uy2005 (right axis),186449350.991968,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1963,gdp_price_index_base_2005,GDP Price index (base 2005),1.19957510610822e-07,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1963,ipc_index_1983_1989,IPC,0.0018,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1964,gdp_current,GDP,32.587,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1964,gdp_2005,GDP $Uy2005 (right axis),190200228.378193,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1964,gdp_price_index_base_2005,GDP Price index (base 2005),1.71329973038751e-07,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1964,ipc_index_1983_1989,IPC,0.0026,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1965,gdp_current,GDP,52.51,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1965,gdp_2005,GDP $Uy2005 (right axis),192389265.01671,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1965,gdp_price_index_base_2005,GDP Price index (base 2005),2.72936226433627e-07,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1965,ipc_index_1983_1989,IPC,0.0041,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1966,gdp_current,GDP,99.633,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1966,gdp_2005,GDP $Uy2005 (right axis),198944076.973621,Thousand $Uy 2005,Oyanthabal
