anio,tg_total_b,tg_no_agrario_b
2000,0.1037996535,0.0939334726
2001,0.1040099022,0.09570156201
2002,0.1025716745,0.08996627321
2003,0.128043699,0.1113241624
2004,0.1453680918,0.1274118192
2005,0.142062866,0.1309102687
2006,0.1238202464,0.1090631067
2007,0.1330840722,0.1194412221
2008,0.1391091783,0.1233652115
2009,0.1232755192,0.1108243254
2010,0.1373167908,0.1263628956
2011,0.1343251547,0.1176766827
2012,0.1314464096,0.1147096468
2013,0.1318882804,0.1147995575
2014,0.1253674244,0.1131274505
2015,0.1227932982,0.1137595506
2016,0.122203292,0.112209088
2017,0.1186792759,0.1142739957
2018,0.1151152104,0.1085991054
2019,0.1092127581,0.1002414953
2020,0.09164033067,0.07972750437
2021,0.1164755232,0.10297663
2022,0.1227018034,
2023,0.1135342614,
2024,,
