anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2001,C,1,Rev.3,89240215000.0,,32030854000.0,,11462459000.0,113817.0,3539644000.0,1075519000.0,3127411000.0,6829485000.0,28622363000.0,20568395000.0,0.35785680269405246,281424.1633499389
2001,D_E,1,Rev.3,13263801000.0,,10613610000.0,,3599292000.0,14928.0,1873944000.0,1707000.0,1928502000.0,111535000.0,50479997000.0,7014318000.0,0.3391204312199148,710986.7363344051
2001,G,1,Rev.3,43491119000.0,,24957624000.0,,10823278000.0,168971.0,2205103000.0,107333000.0,1670535000.0,1114492000.0,14490199000.0,14134346000.0,0.4336662015582894,147703.59410786466
2001,H_J,1,Rev.3,33566050000.0,,13456590000.0,,6544975000.0,62695.0,3337731000.0,1786934000.0,1509319000.0,-154331000.0,13202423000.0,6911615000.0,0.48637693501845564,214635.77637770158
2001,I,1,Rev.3,6105764000.0,,2287136000.0,,1474027000.0,26097.0,2415023000.0,24742000.0,446253000.0,39553000.0,5880745000.0,813109000.0,0.6444859422439243,87639.80534161015
2001,L_M_N,1,Rev.3,14837125000.0,,8359713000.0,,3864244000.0,60371.0,908730000.0,158545000.0,360497000.0,82393000.0,3280605000.0,4495469000.0,0.46224601251263053,138472.32942969305
2001,P,1,Rev.3,3554736000.0,,2803083000.0,,2188777000.0,30186.0,241141000.0,5934000.0,73414000.0,1245000.0,1895620000.0,614306000.0,0.7808463038732709,92860.36573245875
2001,Q,1,Rev.3,20736564000.0,,11456887000.0,,8963981000.0,61559.0,1063210000.0,15697000.0,358413000.0,204284000.0,5999539000.0,2492906000.0,0.7824098291272316,186112.29877028542
2002,C,2,Rev.3,104934883446.0,,39381506784.0,,9421078355.0,76575.0,,,3758469943.0,5924169665.0,,29960428429.0,0.2392259495471518,514286.73567091086
2002,D_E,2,Rev.3,15787447980.0,,12439436732.0,,3806404173.0,12215.0,,,3105564554.0,89560282.0,,8633032559.0,0.3059948979207526,1018373.8626279165
2002,G,2,Rev.3,31693348520.0,,18177965195.0,,7709632973.0,76468.0,,,1426375588.0,632733549.0,,10468332222.0,0.42411969053173226,237719.89845425537
2002,H_J,2,Rev.3,37112316985.0,,15304944081.0,,6795894609.0,37362.0,,,1592530017.0,69155721.0,,8509049472.0,0.44403263239861296,409639.31483860605
2002,I,2,Rev.3,6055117793.0,,2738851808.0,,1165502269.0,14784.0,,,346961879.0,206430881.0,,1573349539.0,0.4255441150907278,185257.83333333334
2002,L_M_N,2,Rev.3,10532305500.0,,5766938265.0,,3189588114.0,36920.0,,,319767425.0,-38267584.0,,2577350151.0,0.5530817164036349,156200.92808775732
2002,P,2,Rev.3,3635163473.0,,2764590458.0,,2232779019.0,29269.0,,,186228974.0,1845445.0,,531811439.0,0.8076346398935592,94454.55799651508
2002,Q,2,Rev.3,18542655551.0,,9779564144.0,,8301959694.0,56404.0,,,427982536.0,308347891.0,,1477604450.0,0.8489089668779823,173384.2306219417
2003,C,2,Rev.3,139349946300.0,,41497361974.0,,10878789626.0,83356.0,6899547696.0,5256351292.0,4714590576.0,6090823735.0,48103564060.0,30618572348.0,0.2621561735132961,497832.9331301886
2003,D_E,2,Rev.3,17778374536.0,,15099711405.0,,3709025707.0,11033.0,1881480432.0,289523.0,2816673366.0,71005452.0,18404738826.0,11390685698.0,0.2456355361713617,1368595.251064987
2003,G,2,Rev.3,37563631203.0,,21571353022.0,,7998489144.0,77964.0,1137150229.0,84676957.0,1828622094.0,718525744.0,13454000561.0,13572863878.0,0.37079218609247977,276683.50805499975
2003,H_J,2,Rev.3,45516690384.0,,16906173266.0,,6746978974.0,36295.0,2989215591.0,336383626.0,4184128201.0,148694272.0,16977971617.0,10159194292.0,0.39908374697477206,465798.9603526656
2003,I,2,Rev.3,7545694909.0,,3215599713.0,,1331138827.0,15423.0,407835768.0,4134443.0,581911564.0,185578578.0,15394752061.0,1884460886.0,0.41396285166293645,208493.78934059522
2003,L_M_N,2,Rev.3,10840882783.0,,5781255267.0,,3250196651.0,36576.0,893749498.0,60040937.0,446760432.0,-81377996.0,3036697582.0,2531058616.0,0.5621956652826692,158061.44102690287
2003,P,2,Rev.3,4020897277.0,,3041969189.0,,2333305509.0,30136.0,265611515.0,6872122.0,202734943.0,1700570.0,4535928555.0,708663680.0,0.7670378508228868,100941.37207990444
2003,Q,2,Rev.3,20144437327.0,,10367277432.0,,8237357729.0,54436.0,464436226.0,16922814.0,612598654.0,532348671.0,8950823549.0,2129919703.0,0.7945536118840887,190448.92042031008
2004,C,2,Rev.3,179010449525.0,,52621053735.0,,12139435357.0,88653.0,6396127195.0,1599697016.0,5136920717.0,7039185004.0,50525577181.0,40481618378.0,0.23069540602767635,593562.0197286048
2004,D_E,2,Rev.3,18970896638.0,,16452542193.0,,4318586343.0,11278.0,1586645703.0,577445.0,3527584731.0,193662937.0,69005735625.0,12133955850.0,0.26248748019241747,1458817.360613584
2004,G,2,Rev.3,44736252618.0,,25542912801.0,,8750816236.0,80808.0,2848082374.0,168379555.0,2071656593.0,891739416.0,14305115357.0,16792096565.0,0.3425927302878866,316093.86200623703
