seccion,segmento,Variable,variable_fuente,Incidencia,Efecto,Formula,Comentario,Fuente
industria-total,Industria total,Consumo intermedio,Consumo intermedio,0.189,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / consumo intermedio,"Se toma COU porque incluye impuestos y márgenes de comercio y transporte, promedio 2015/2016"
industria-total,Industria total,Masa salarial,Masa salarial,0.093,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / masa salarial manufacturera,"Se toma COU porque incluye impuestos y márgenes de comercio y transporte, promedio 2015/2016"
industria-total,Industria total,Intereses,Intereses,0.08470000000000001,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Intereses pagados / VBP,CIU 2006/2024
industria-total,Industria total,VBP,VBP,0.33299999999999996,Positivo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Exportaciones / VBP,"Exportaciones CCNN, con factor de microdatos, respecto de VBP EAAE, promedio 2001/2024"
industria-total,Industria total,Consumo de capital fijo,Consumo de capital fijo,0.017,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Efecto aumento consumo capital fijo maquinaria importada / consumo de capital fijo,"Efecto de inversión importada, prorrateada por depreciación lineal estimación a 20 años a partir de EAAE"
industria-total,Industria total,Stock capital imputado,Stock capital imputado,0.037,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Aumento stock respecto del stock de maquinaria,Efecto de inversión importada en stock de capital a partir de EAAE
exportadora,Exportadores,Consumo intermedio,Consumo intermedio,0.181,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / consumo intermedio,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Exportadores
exportadora,Exportadores,Masa salarial,Masa salarial,0.093,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / masa salarial manufacturera,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Exportadores
exportadora,Exportadores,Intereses,Intereses,0.08470000000000001,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Intereses pagados / VBP,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Exportadores
exportadora,Exportadores,VBP,VBP,0.42000000000000004,Positivo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Exportaciones / VBP,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Exportadores
exportadora,Exportadores,Consumo de capital fijo,Consumo de capital fijo,0.0077,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Efecto aumento consumo capital fijo maquinaria importada / consumo de capital fijo,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Exportadores
exportadora,Exportadores,Stock capital imputado,Capital fijo de maquinaria,0.0085,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Aumento stock respecto del stock de maquinaria,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Exportadores
mercado-interno,Mercado interno,Consumo intermedio,Consumo intermedio,0.227,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / consumo intermedio,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Mercado interno
mercado-interno,Mercado interno,Masa salarial,Masa salarial,0.093,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / masa salarial manufacturera,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Mercado interno
mercado-interno,Mercado interno,Intereses,Intereses,0.08470000000000001,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Intereses pagados / VBP,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Mercado interno
mercado-interno,Mercado interno,VBP,VBP,0.10700000000000001,Positivo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Exportaciones / VBP,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Mercado interno
mercado-interno,Mercado interno,Consumo de capital fijo,Consumo de capital fijo,0.0106,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Efecto aumento consumo capital fijo maquinaria importada / consumo de capital fijo,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Mercado interno
mercado-interno,Mercado interno,Stock capital imputado,Capital fijo de maquinaria,0.0181,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Aumento stock respecto del stock de maquinaria,20260825-Uruguay. Modelo de impacto de devaluación-segmentos.xlsx; hoja Expo - Mercado Interno; bloque Mercado interno
