escenario,escenario_nombre,descripcion_escenario,seccion,segmento,Variable,variable_fuente,Incidencia,Efecto,Formula,Comentario,Fuente
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,industria-total,Industria total,Consumo intermedio,Consumo intermedio,0.189,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / consumo intermedio,"20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.1 | Cantidades fijas | Importado; Se toma COU porque incluye impuestos y márgenes de comercio y transporte, promedio 2015/2016"
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,industria-total,Industria total,Masa salarial,Masa salarial,0.093,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / masa salarial manufacturera,"20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.1 | Cantidades fijas | Importado; Se toma COU porque incluye impuestos y márgenes de comercio y transporte, promedio 2015/2016"
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,industria-total,Industria total,Intereses,Intereses,0.08470000000000001,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Intereses pagados / VBP,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.1 | Cantidades fijas | Importado; CIU 2006/2024
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,industria-total,Industria total,VBP,VBP,0.395,Positivo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Exportaciones / VBP,"20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.1 | Cantidades fijas | Importado; Exportaciones CCNN, con factor de microdatos, respecto de VBP EAAE, promedio 2001/2024"
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,industria-total,Industria total,Consumo de capital fijo,Consumo de capital fijo,0.017,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Efecto aumento consumo capital fijo maquinaria importada / consumo de capital fijo,"20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.1 | Cantidades fijas | Importado; Efecto de inversión importada, prorrateada por depreciación lineal estimación a 20 años a partir de EAAE"
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,industria-total,Industria total,Stock capital imputado,Capital fijo de maquinaria,0.037,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Aumento stock respecto del stock de maquinaria,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.1 | Cantidades fijas | Importado; Efecto de inversión importada en stock de capital a partir de EAAE
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,exportadora,Exportadores,Consumo intermedio,Consumo intermedio,0.181,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / consumo intermedio,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Exportadores
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,exportadora,Exportadores,Masa salarial,Masa salarial,0.093,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / masa salarial manufacturera,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Exportadores
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,exportadora,Exportadores,Intereses,Intereses,0.08470000000000001,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Intereses pagados / VBP,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Exportadores
escenario_1_comercio_exterior,Escenario 1 - Comercio Exterior,Incidencia directa del comercio exterior: la apropiación de riqueza vía sobrevaluación se aplica a componentes importados de costos y capital y a la parte exportada de la producción.,exportadora,Exportadores,VBP,VBP,0.42000000000000004,Positivo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Exportaciones / VBP,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Impo_Expo - Mercado Interno; bloque Exportadores
