"fila_id","rev3_division","rev3_title_en","rev31_titulo_es","rev4_division_candidata","rev4_titulo_es","rev4_seccion_candidata","relacion_preliminar","prioridad_revision","comentario_preliminar","grupo_homologado_equipo","decision_equipo","notas_equipo"
"1","15","Manufacture of food products and beverages","Elaboracion de productos alimenticios y bebidas","10","Elaboracion de productos alimenticios","C","division_rev3_se_abre_en_rev4","media","Rev.4 separa alimentos y bebidas; decidir si mantener grupo agregado 10+11 o separar desde 2008.","","",""
"2","15","Manufacture of food products and beverages","Elaboracion de productos alimenticios y bebidas","11","Elaboracion de bebidas","C","division_rev3_se_abre_en_rev4","media","Rev.4 separa alimentos y bebidas; decidir si mantener grupo agregado 10+11 o separar desde 2008.","","",""
"3","16","Manufacture of tobacco products","Elaboracion de productos de tabaco","12","Elaboracion de productos de tabaco","C","uno_a_uno_aproximado","baja","Correspondencia directa a nivel division, sujeta a verificar cobertura EAAE.","","",""
"4","17","Manufacture of textiles","Fabricacion de productos textiles","13","Fabricacion de productos textiles","C","uno_a_uno_aproximado","baja","Correspondencia directa a nivel division, sujeta a verificar cobertura EAAE.","","",""
"5","18","Manufacture of wearing apparel; dressing and dyeing of fur","Fabricacion de prendas de vestir; adobo y tenido de pieles","14","Fabricacion de prendas de vestir","C","uno_a_uno_aproximado","baja","Correspondencia directa aproximada; revisar tratamiento de pieles/fur en la fuente.","","",""
"6","19","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","Curtido y adobo de cueros; fabricacion de maletas, bolsos de mano, articulos de talabarteria y guarnicioneria, y calzado","15","Fabricacion de cueros y productos conexos","C","uno_a_uno_aproximado","baja","Correspondencia directa aproximada.","","",""
"7","20","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Produccion de madera y fabricacion de productos de madera y corcho, excepto muebles; fabricacion de articulos de paja y de materiales trenzables","16","Produccion de madera y fabricacion de productos de madera y corcho, excepto muebles; fabricacion de articulos de paja y de materiales trenzables","C","uno_a_uno_aproximado","baja","Correspondencia directa aproximada.","","",""
"8","21","Manufacture of paper and paper products","Fabricacion de papel y de productos de papel","17","Fabricacion de papel y de productos de papel","C","uno_a_uno_aproximado","baja","Correspondencia directa aproximada.","","",""
"9","22","Publishing, printing and reproduction of recorded media","Actividades de edicion e impresion y de reproduccion de grabaciones","18","Impresion y reproduccion de grabaciones","C","parcial_con_salida_de_manufactura","alta","Rev.4 conserva impresion/reproduccion en manufactura, pero edicion/publicacion pasa fuera de manufactura.","","",""
"10","22","Publishing, printing and reproduction of recorded media","Actividades de edicion e impresion y de reproduccion de grabaciones","58","Actividades de edicion","J","parcial_fuera_de_manufactura","alta","Componente editorial de Rev.3 22 pasa a informacion y comunicacion; decidir si excluirlo de una serie manufacturera larga o agregarlo en grupo especial.","","",""
"11","23","Manufacture of coke, refined petroleum products and nuclear fuel","Fabricacion de coque, productos de la refinacion del petroleo y combustible nuclear","19","Fabricacion de coque y productos de la refinacion del petroleo","C","uno_a_uno_con_cambio_de_alcance","media","Rev.4 no conserva combustible nuclear como division manufacturera equivalente visible; revisar peso y cobertura en Uruguay.","","",""
"12","24","Manufacture of chemicals and chemical products","Fabricacion de sustancias y productos quimicos","20","Fabricacion de sustancias y productos quimicos","C","division_rev3_se_abre_en_rev4","alta","Rev.4 separa productos farmaceuticos de quimicos; decidir si usar 20+21 como grupo historico.","","",""
"13","24","Manufacture of chemicals and chemical products","Fabricacion de sustancias y productos quimicos","21","Fabricacion de productos farmaceuticos, sustancias quimicas medicinales y productos botanicos de uso farmaceutico","C","division_rev3_se_abre_en_rev4","alta","Rev.4 separa productos farmaceuticos de quimicos; decidir si usar 20+21 como grupo historico.","","",""
"14","25","Manufacture of rubber and plastics products","Fabricacion de productos de caucho y plastico","22","Fabricacion de productos de caucho y plastico","C","uno_a_uno_aproximado","baja","Correspondencia directa aproximada.","","",""
"15","26","Manufacture of other non-metallic mineral products","Fabricacion de otros productos minerales no metalicos","23","Fabricacion de otros productos minerales no metalicos","C","uno_a_uno_aproximado","baja","Correspondencia directa aproximada.","","",""
"16","27","Manufacture of basic metals","Fabricacion de metales comunes","24","Fabricacion de metales comunes","C","uno_a_uno_aproximado","baja","Correspondencia directa aproximada.","","",""
"17","28","Manufacture of fabricated metal products, except machinery and equipment","Fabricacion de productos elaborados de metal, excepto maquinaria y equipo","25","Fabricacion de productos elaborados de metal, excepto maquinaria y equipo","C","uno_a_uno_aproximado","baja","Correspondencia directa aproximada.","","",""
"18","28","Manufacture of fabricated metal products, except machinery and equipment","Fabricacion de productos elaborados de metal, excepto maquinaria y equipo","33","Reparacion e instalacion de maquinaria y equipo","C","actividad_reubicada_en_rev4","alta","Parte de reparacion/instalacion antes podia estar dentro de divisiones de bienes de capital; Rev.4 crea division 33.","","",""
"19","29","Manufacture of machinery and equipment n.e.c.","Fabricacion de maquinaria y equipo n.c.p.","28","Fabricacion de maquinaria y equipo n.c.p.","C","uno_a_uno_aproximado","baja","Correspondencia directa aproximada para fabricacion principal.","","",""
"20","29","Manufacture of machinery and equipment n.e.c.","Fabricacion de maquinaria y equipo n.c.p.","33","Reparacion e instalacion de maquinaria y equipo","C","actividad_reubicada_en_rev4","alta","Revisar si actividades de reparacion/instalacion estaban incluidas en Rev.3 29 y si conviene agregarlas a maquinaria.","","",""
"21","30","Manufacture of office, accounting and computing machinery","Fabricacion de maquinaria de oficina, contabilidad e informatica","26","Fabricacion de productos de informatica, electronica y optica","C","division_rev3_reclasificada","alta","Rev.4 redefine alta tecnologia en division 26; no es uno-a-uno puro.","","",""
"22","31","Manufacture of electrical machinery and apparatus n.e.c.","Fabricacion de maquinaria y aparatos electricos n.c.p.","27","Fabricacion de equipo electrico","C","uno_a_uno_con_cambio_de_alcance","media","Correspondencia principal con equipo electrico; revisar componentes que pasan a electronica u optica.","","",""
"23","31","Manufacture of electrical machinery and apparatus n.e.c.","Fabricacion de maquinaria y aparatos electricos n.c.p.","33","Reparacion e instalacion de maquinaria y equipo","C","actividad_reubicada_en_rev4","alta","Revisar reparacion/instalacion asociada.","","",""
"24","32","Manufacture of radio, television and communication equipment and apparatus","Fabricacion de equipo y aparatos de radio, television y comunicaciones","26","Fabricacion de productos de informatica, electronica y optica","C","division_rev3_reclasificada","alta","Rev.4 agrupa electronica, informatica y optica en division 26.","","",""
"25","33","Manufacture of medical, precision and optical instruments, watches and clocks","Fabricacion de instrumentos medicos, opticos y de precision y fabricacion de relojes","26","Fabricacion de productos de informatica, electronica y optica","C","division_rev3_reclasificada","alta","Rev.4 agrupa electronica, informatica y optica en division 26.","","",""
