division_publicada,codigos_base_2dig,descripcion_fuente,2020,2021,2022,2023,2024
10,10,Elaboración de productos alimenticios.,si,si,si,si,si
11 y 12,11|12,Elaboración de bebidas y elaboración de productos de tabaco,si,si,si,si,si
13,13,Fabricación de productos textiles.,si,si,si,si,si
14,14,Fabricación de prendas de vestir.,si,si,si,si,si
15,15,Fabricación de cueros y productos conexos.,si,si,si,si,si
16,16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.",si,si,si,si,si
17,17,Fabricación de papel y de los productos de papel.,si,si,si,si,si
18,18,Actividades de impresión y reproducción de grabaciones.,si,si,si,si,si
19,19,Fabricación de coque y de productos de la refinación del petróleo.,si,si,si,si,si
20,20,Fabricación de sustancias y productos químicos.,si,si,si,si,si
21,21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.",si,si,si,si,si
22,22,Fabricación de productos de caucho y plástico.,si,si,si,si,si
23,23,Fabricación de otros productos minerales no metálicos.,si,si,si,si,si
24,24,Fabricación de metales comunes.,si,si,si,si,si
25,25,"Fabricación de productos derivados del metal, excepto maquinaria y equipo.",si,si,si,si,si
26 y 27,26|27,"Fabricación de los productos informáticos, electrónicos y ópticos. Fabricación de equipo eléctrico.",si,si,si,si,si
28,28,Fabricación de maquinaria y equipo n.c.p.,si,si,si,si,si
29 y 30,29|30,"Fabricación de vehículos automotores, remolques y semirremolques. Fabricación de otros tipos de equipo de transporte.",si,si,si,si,si
31,31,Fabricación de muebles.,si,si,si,si,si
32,32,Otras industrias manufactureras.,si,si,si,si,si
33,33,Reparación e instalación de la maquinaria y equipo.,si,si,si,si,si
